model_type,nt,pseudo_r2,pred_obs_r2,pred_obs_r2_exp,path,region,response,scale,rep
replicates,7500,0.4675636035543199,0.7990214142164789,0.6875858691395985,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_120.csv,GCFR,richness,QDS,120
replicates,8500,0.47960307230946375,0.8132252667196971,0.7013540841577168,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_121.csv,GCFR,richness,QDS,121
replicates,6850,0.47165682521216257,0.7883159465384686,0.6733625128150894,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_122.csv,GCFR,richness,QDS,122
replicates,7100,0.5001337844307504,0.7936013455684571,0.6795075596959774,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_123.csv,GCFR,richness,QDS,123
replicates,8150,0.49191217106800633,0.8089028243351049,0.6965816767108184,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_124.csv,GCFR,richness,QDS,124
replicates,7350,0.4827320246849368,0.7964650745409705,0.6847495814712588,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_125.csv,GCFR,richness,QDS,125
replicates,8550,0.49293489869475204,0.8133597954108671,0.6999172505047895,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_126.csv,GCFR,richness,QDS,126
replicates,8550,0.5035700461991621,0.8137064458884183,0.7027214851400958,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_127.csv,GCFR,richness,QDS,127
replicates,8350,0.4792932467782093,0.8111159811658997,0.6999489318725097,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_128.csv,GCFR,richness,QDS,128
replicates,8300,0.5034876470275903,0.8098875866476848,0.6957310605855239,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_129.csv,GCFR,richness,QDS,129
replicates,7750,0.48983092055717037,0.8030033580265282,0.6905334931218569,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_12.csv,GCFR,richness,QDS,12
replicates,8550,0.5211114050077663,0.813963377938266,0.7047871433162616,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_130.csv,GCFR,richness,QDS,130
replicates,8100,0.48302566319532036,0.8071040517239619,0.6923326974749244,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_131.csv,GCFR,richness,QDS,131
replicates,8050,0.4961032525506601,0.8067585316151515,0.6961786265585966,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_132.csv,GCFR,richness,QDS,132
replicates,8350,0.4950207659023501,0.8111447555208251,0.7009048841834391,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_133.csv,GCFR,richness,QDS,133
replicates,7400,0.47560947208650495,0.797231055460261,0.6822025375984765,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_134.csv,GCFR,richness,QDS,134
replicates,7900,0.4912534547042746,0.804927075571022,0.693236430816965,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_135.csv,GCFR,richness,QDS,135
replicates,7150,0.4835687652350501,0.7936315363882418,0.6799418729353044,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_136.csv,GCFR,richness,QDS,136
replicates,7200,0.49090153984930973,0.7942444989550949,0.6812274278533627,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_137.csv,GCFR,richness,QDS,137
replicates,9450,0.49727536774229864,0.8254689713049159,0.7119887136787306,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_138.csv,GCFR,richness,QDS,138
replicates,7750,0.4885647183097047,0.8030012548955062,0.6906335040280995,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_139.csv,GCFR,richness,QDS,139
replicates,7050,0.445423293074514,0.7917407101179337,0.676906128437593,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_13.csv,GCFR,richness,QDS,13
replicates,7350,0.4899677107669188,0.7958769368620661,0.6814532806035366,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_140.csv,GCFR,richness,QDS,140
replicates,8150,0.4939836425400169,0.808355999328945,0.6947940616966407,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_141.csv,GCFR,richness,QDS,141
replicates,7900,0.5006939392927567,0.8055111945831036,0.6938814206099754,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_142.csv,GCFR,richness,QDS,142
replicates,7800,0.48709007322792663,0.8029789055769966,0.6911847259755786,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_143.csv,GCFR,richness,QDS,143
replicates,7750,0.4778793375163033,0.8019903226143575,0.6893580444419909,/home/ruan/Desktop/Cape-vs-SWA/outputs/species-environment-relationships/from-local-machines/QDS-richness-models_1000-reps/GCFR_QDS-richness-gbm-step_summary_2018-12-03_144.csv,GCFR,richness,QDS,144
