model_name,nt,pseudo_r2,pred_obs_r2
cape_richness,4900,0.302682337459532,0.73933266956393
swa_richness,5400,0.5247337352175461,0.7389499168783578
cape_turnover,4250,0.1877405151114261,0.7131228635736127
swa_turnover,3600,0.1847221302355132,0.5208873756649839
