region,Elevation,MAP,PDQ,Surface.T,NDVI,CEC,Clay,Soil.C,pH
GCFR,177.41759490966797,20.3281094233195,0.7512094378471375,2.124090830485026,3788552.0416666665,1.9055164555708568,3.2705759704113007,5.644061777326797,3.9105984369913735
GCFR,163.1943597793579,18.499254266420998,1.2547772377729416,1.8854290644327776,3960083.75,2.0655602191885314,4.201658718287945,5.838482181231181,3.8899922370910645
GCFR,129.30654430389404,20.43332552909851,1.4351589977741241,2.3271312713623047,3137536.5625,1.7458244264125824,3.1925767064094543,5.983153223991394,4.723527193069458
GCFR,118.25331333705357,12.48876667022705,1.6399224741118295,1.1116572788783483,2680712.8333333335,1.5089627277283442,1.8423537015914917,3.3058931714012507,2.898533775692895
GCFR,98.1132583618164,7.7669830322265625,0.9050646275281906,0.8777275085449219,906544.5,1.6047788858413696,1.7367053627967834,3.925511280695595,2.177081823348999
GCFR,98.23754920959473,20.65307706197103,0.2673026084899902,1.9538396199544308,2183919.25,1.6178252140680949,1.7267709732055665,8.462784067789714,6.617339324951172
GCFR,198.04647145952498,15.59437760852632,0.6510790245873588,2.0677057902018254,3776796,2.1896003768557595,3.84347665309906,5.035036949884324,5.897879873003278
GCFR,162.83769941329956,14.351395090421041,0.9627825319766998,3.12488524119059,3648573.9375,2.059192960460981,5.411138974130154,4.202511390050252,4.941609501838684
GCFR,158.37936878204346,17.920995593070984,1.324973464012146,1.8249874114990234,3185749.03125,2.5666108578443527,3.5794628113508224,6.318342924118042,2.5911452770233154
GCFR,128.67063808441162,16.631928284962974,2.044399010638396,2.2107140223185198,3428898.864583333,1.300741121172905,4.703831126292546,6.133446852366129,4.325385570526122
GCFR,119.48895111083985,18.243326314290364,1.5161245862642923,3.3037485758463503,2647117.416666667,1.1638444423675538,2.3197842439015703,4.605914370218912,4.323988151550291
GCFR,68.408931350708,25.393424606323244,0.4431967258453369,1.5423202514648438,2493507.15,2.455865716934204,1.6372827410697937,9.250516414642334,4.45887565612793
GCFR,95.1457691192627,25.438154765537806,0.33703088760375977,1.0245938982282365,3304498,1.2943913766316004,1.2704328468867712,6.937147208622524,3.906926836286272
GCFR,181.86656975746155,13.788714170455933,0.4218333065509796,2.0142154693603516,4226045.625,1.721190370619297,4.607230320572853,6.313150227069855,5.793469190597534
GCFR,161.995219707489,12.531288385391235,1.1089915335178375,1.8603401184082031,3032290.1875,2.0328394025564194,4.820375703275204,4.117411911487579,3.522748827934265
GCFR,116.83424186706543,10.246857285499573,1.1604921519756317,2.2751636505126953,3078393.875,1.4440870881080627,4.553163900971413,5.504550933837891,1.9826422929763794
GCFR,177.92529773712158,24.318598071734108,2.1943926538030305,2.1995836893717495,4601114.78125,1.267669235666593,4.34821529686451,6.567837516466777,2.790999372800191
GCFR,143.47250518798828,16.246280606587728,3.1089032371838883,2.4038162231445312,3838396.2,2.585910916328431,3.6830106894175207,5.583913675944011,5.0107357660929335
GCFR,49.423020362854004,14.637558619181315,1.3519488890965778,2.262842305501306,3810330.1333333333,1.2593057473500568,3.20739582379659,9.077363395690918,5.33292662302653
GCFR,62.87576975141253,23.637619835989817,0.8141674995422363,1.7039260864257812,3397351.8571428573,1.7908707090786524,2.5343155775751387,6.900211674826486,3.3637307030814037
GCFR,102.21661972999573,21.19178032875061,0.40915459394454956,0.9198293685913086,3244963.5,1.5231110230088234,2.179748736321926,5.995081305503845,3.792715549468994
GCFR,151.43416571617126,18.53093719482422,0.6220903098583221,1.1261024475097656,3718533.28125,0.9796326830983162,3.4012127742171288,9.09534865617752,4.170403599739075
GCFR,190.13575887680054,20.44683837890625,0.8458096086978912,2.533245086669922,4416058.65625,1.5245573222637177,6.6315231174230576,11.265063285827637,4.780164480209351
GCFR,146.54674434661865,16.010263919830322,1.134909227490425,1.7089176177978516,2597579.53125,1.2369958758354187,3.589015617966652,6.7782062292099,3.24969744682312
GCFR,215.77832984924316,16.653534094492592,2.0397884200016656,1.7060000101725308,4102431.625,1.8226691782474518,4.0681761503219604,7.147941927115123,1.8224047025044756
GCFR,164.16718546549478,20.42805332607693,1.9154169691933525,2.62811533610027,4852162.5,2.0032160282135014,4.899716522958543,5.426288816663955,1.9491835700141056
GCFR,54.253172397613525,8.132605658637154,1.7553221848275926,1.7233865525987444,2821183.0694444445,1.2768540051248338,3.3904832469092474,10.074610153834024,5.728491995069716
GCFR,71.61207747459412,15.35485577583313,1.344764530658722,1.7347240447998047,3495679.125,1.0858784839510918,2.411548525094986,9.27015221118927,3.3389488458633423
GCFR,83.39384937286377,12.442996978759766,0.6881562918424606,0.9270448684692383,1869188.59375,1.1818209439516068,1.6251284927129745,7.922383725643158,3.1238443851470947
GCFR,104.00173854827881,14.379860162734985,0.49284636974334717,0.9582939147949219,2932521.4375,0.5849474221467972,2.4065322279930115,9.235523104667664,2.8509812355041504
GCFR,137.89623832702637,16.825793504714966,1.0881937891244888,2.0033836364746094,4227623.09375,0.6896033585071564,3.507338985800743,13.295937895774841,6.520351409912109
GCFR,207.78829765319824,21.086281538009644,0.9693696647882462,2.4936647415161133,3893773,0.997210219502449,4.481800764799118,11.562158226966858,5.135315656661987
GCFR,125.57961750030518,8.788395881652832,0.9245424419641495,2.135021527608238,4160327.21875,1.4055027415355046,3.99338694413503,7.496685743331909,3.44196879863739
GCFR,126.5617425101144,11.039137159075056,1.2465297835213798,1.5945874168759329,3905159.035714286,2.8821930147352672,3.0991271961302984,6.877317224230085,1.7529473985944475
