term,estimate,conf.low,conf.high,tau
(Intercept),-0.3105826844396575,-0.32042455780332313,-0.3007266281586706,0.05
log(geodist),0.09280371658964469,0.09201459842497133,0.09350973396969056,0.05
regionGCFR,0.387816217410631,0.37971085468398563,0.39952595332182833,0.05
log(geodist):regionGCFR,-0.026188461114809634,-0.02706572891583476,-0.02559523556893807,0.05
