"","x"
"1","Elevation"
"2","MAP"
"3","PDQ"
"4","Surface.T"
"5","CEC"
"6","Clay"
"7","Soil.C"
"8","pH"
"9","rough_Elevation"
"10","rough_MAP"
"11","rough_PDQ"
"12","rough_Surface.T"
"13","rough_NDVI"
"14","rough_CEC"
"15","rough_Clay"
"16","rough_Soil.C"
