"","x"
"1","Elevation"
"2","MAP"
"3","PDQ"
"4","Surface.T"
"5","CEC"
"6","Clay"
"7","pH"
"8","rough_Elevation"
"9","rough_MAP"
"10","rough_PDQ"
"11","rough_Surface.T"
"12","rough_NDVI"
"13","rough_CEC"
"14","rough_Soil.C"
