var,rel.inf
MAP,38.52291364719242
CEC,11.443326225583702
rough_Elevation,9.3563854694043
Elevation,8.35224804502309
rough_NDVI,6.860521876264667
PDQ,5.420543013113861
rough_MAP,4.772237124550778
Surface.T,4.444027206174034
rough_Soil.C,2.810996453083159
pH,2.414640891846871
rough_PDQ,2.4008507195300104
Clay,1.2323806261745656
rough_CEC,1.1813886834284864
rough_Surface.T,0.7875400186300545
