scale,region,PC1_residual,multivariate_residual,PC1_residual2,multivariate_residual2
DS,GCFR,0.2425540583719293,0.1408564743924578,0.21816783309028398,0.08388797581510041
DS,SWAFR,0.2230868677670714,0.10989319676353886,0.2230546713416026,0.10139666383703354
HDS,GCFR,0.36709033535377805,0.33729831086119166,0.3645675137609705,0.33729831086119166
HDS,SWAFR,0.3297535048643589,0.29600485734805554,0.32407946910603425,0.29600485734805554
QDS,GCFR,0.43169506174466965,0.4088434077518608,0.4259809125523246,0.4047056232853961
QDS,SWAFR,0.47335898491254985,0.4406371428050498,0.4681137456016847,0.4253156417607567
