test,scale,estimate,p.value
expected,DS,0.9999999836835501,4.720555064991981e-230
expected,HDS,0.9999999646039588,0
expected,QDS,0.9999998738739838,0
residual,DS,0.5290583738375578,8.28263201363674e-6
residual,HDS,0.8965354204175524,2.0268684101075775e-85
residual,QDS,0.9367160236978734,0
