var,rel.inf
pH,15.655710693903007
rough_Surface.T,12.344028448109063
MAP,12.132016645288838
rough_Clay,10.58602937530367
rough_Elevation,10.329949500666553
Clay,8.429156229952191
rough_Soil.C,6.539251831442443
rough_MAP,6.116238586893612
rough_CEC,5.400002339725607
Elevation,4.074779072163687
PDQ,3.3205296407569778
rough_NDVI,2.9970093126532995
CEC,2.0752983231410607
