species,n_collections
Arctotheca calendula,146
Aspalathus flexuosa,146
Erica caffra,146
Pentameris dregeana,146
Wiborgia obcordata,146
Aspalathus joubertiana,145
Erica lateralis,145
Oedera uniflora,145
Struthiola ciliata,145
Haworthia mirabilis,144
Leucadendron salicifolium,144
Schotia afra,144
Tripteris sinuata,144
Felicia oleosa,143
Geissorhiza aspera,143
Passerina truncata,143
Podalyria biflora,143
Satyrium erectum,143
Aspalathus bracteata,142
Conicosia pugioniformis,142
Elegia juncea,142
Thesium virgatum,142
Aspalathus chortophila,141
Caesia contorta,141
Calobota sericea,141
Haworthia arachnoidea,141
Holothrix villosa,141
Pauridia minuta,141
Thesium litoreum,141
Asparagus capensis,140
Elegia capensis,140
Erica eremioides,140
Hermannia lavandulifolia,140
Brunsvigia orientalis,139
Helichrysum asperum,139
Huernia echidnopsioides,139
Thamnochortus cinereus,139
Hypocalyptus sophoroides,138
Lobostemon echioides,138
Babiana angustifolia,137
Diosma acmaeophylla,137
Erica glabella,137
Hemimeris racemosa,137
Lachnaea grandiflora,137
Mastersiella digitata,137
Paranomus centaureoides,137
Phylica linifolia,137
Cliffortia ruscifolia,136
Cotula coronopifolia,136
Gnidia oppositifolia,136
Oxalis senecta,136
Podalyria calyptrata,136
Prismatocarpus diffusus,136
Spatalla confusa,136
Willdenowia incurvata,136
Clutia alaternoides,135
Lapeirousia pyramidalis,135
Dodonaea angustifolia,134
Erica ecklonii,134
Fingerhuthia africana,134
Hypocalyptus coluteoides,134
Lachenalia peersii,134
Leucadendron aibum,134
Leucadendron lanigerum,134
Metalasia pungens,134
Passerina corymbosa,134
Aspalathus crassisepala,133
Ficinia bulbosa,133
Gorteria diffusa,133
Hermannia incana,133
Stoebe capitata,133
Aspalathus spinescens,132
Briza maxima,132
Erica denticulata,132
Glottiphyllum longum,132
Helichrysum odoratissimum,132
Stoebe aethiopica,132
Cleretum papulosum,131
Helichrysum moeserianum,131
Lampranthus scaber,131
Leucadendron arcuatum,131
Lobelia coronopifolia,131
Podalyria glauca,131
Podalyria pearsonii,131
Babiana inclinata,130
Erica eburnea,130
Leucospermum oleifolium,130
Tetragonia fruticosa,130
Restio ocreatus,129
Serruria cygnea,129
Spatalla incurva,129
Willdenowia glomerata,129
Agathosma bifida,128
Aulax pallasia,128
Disa bracteata,128
Erica sessiliflora,128
Hellmuthia membranacea,128
Indigofera capillaris,128
Leucadendron xanthoconus,128
Schizaea pectinata,128
Clutia polygonoides,127
Hesperantha radiata,127
Indigofera pilgeriana,127
Leucospermum vestitum,127
Protea longifolia,127
Psoralea restioides,127
Cheiridopsis namaquensis,126
Elegia deusta,126
Erica lutea,126
Erica totta,126
Oxalis pardalis,126
Serruria aemula,126
Watsonia meriana,126
Ehrharta erecta,125
Epischoenus dregeanus,125
Gnaphalium vestitum,125
Paranomus bracteolaris,125
Serruria pedunculata,125
Anemia caffrorum,124
Aspalathus arida,124
Hordeum murinum,124
Leysera tenella,124
Spiloxene aquatica,124
Trichocephalus stipularis,124
Babiana sambucina,123
Coleonema juniperinum,123
Cyanella hyacinthoides,123
Erepsia ramosa,123
Euchaetis pungens,123
Kniphofia uvaria,123
Lanaria lanata,123
Leucadendron brunioides,123
Aspalathus rosea,122
Aspalathus rugosa,122
Ferraria variabilis,122
Galenia africana,121
Hessea breviflora,121
Phylica imberbis,121
Restio cincinnatus,121
Ursinia nana,121
Aira cupaniana,120
Athanasia microcephala,120
Disparago ericoides,120
Erica fastigiata,120
Erica transparens,120
Ficinia deusta,120
Indigofera brachystachya,120
Ixia dubia,120
Lotononis involucrata,120
Nemesia ligulata,120
Protea eximia,120
Searsia lucida,120
Aspalathus cephalotes,119
Clutia ericoides,119
Erica viscaria,119
Pteronia teretifolia,119
Serruria adscendens,119
Soulangia oleifolia,119
Cliffortia atrata,118
Euphorbia mauritanica,118
Geochloa rufa,118
Haemanthus amarylloides,118
Hertia alata,118
Indigofera amoena,118
Metalasia brevifolia,118
Osyris compressa,118
Protea burchellii,118
Ursinia chrysanthemoides,118
Berzelia intermedia,117
Encephalartos latifrons,117
Isolepis marginata,117
Lachnaea axillaris,117
Tricholaena capensis,117
Bulbine frutescens,116
Cheilanthes hastata,116
Epischoenus adnatus,116
Juncus capensis,116
Leucadendron meridianum,116
Pelargonium laevigatum,116
Corymbium villosum,115
Erica inflata,115
Restio paniculatus,115
Circandra serrata,114
Erica triceps,114
Hesperantha bachmannii,114
Leucospermum lineare,114
Pentameris aristidoides,114
Aspalathus cymbiformis,113
Ceratandra atrata,113
Diospyros glabra,113
Erica vallis-aranearum,113
Gomphocarpus tomentosus,113
Leucadendron tinctum,113
Mesembryanthemum nitidum,113
Protea mundii,113
Pterygodium alatum,113
Satyrium bicorne,113
Tetraria compar,113
Anthospermum spathulatum,112
Dilatris ixioides,112
Disperis capensis,112
Felicia tenella,112
Oedera sedifolia,112
Satyrium humile,112
Aspalathus steudeliana,111
Brunsvigia radula,111
Coelidium obtusilobum,111
Cyphia volubilis,111
Thamnochortus insignis,111
Cliffortia polygonifolia,110
Dolichothrix ericoides,110
Psoralea aphylla,110
Disa filicornis,109
Geissorhiza rosea,109
Oxalis flaviuscula,109
Pelargonium fruticosum,109
Protea scabra,109
Trachyandra revoluta,109
Aspalathus araneosa,108
Crassula tetragona,108
Erepsia bracteata,108
Polygala bracteolata,108
Satyrium stenopetalum,108
Spatalla racemosa,108
Thesium strictum,108
Chlorophytum viscosum,107
Cotula thunbergii,107
Epilobium capense,107
Erica peltata,107
Ficinia dunensis,107
Gomphocarpus filiformis,107
Liparia splendens,107
Oftia africana,107
Tetraria ustulata,107
Aspalathus callosa,106
Athanasia crithmifolia,106
Bobartia macrospatha,106
Cotyledon orbiculata,106
Elegia microcarpa,106
Erica cordata,106
Erica multumbellifera,106
Erica sitiens,106
Eriocephalus racemosus,106
Gymnosporia buxifolia,106
Helichrysum litorale,106
Helichrysum spiralepis,106
Hyobanche sanguinea,106
Leucospermum wittebergense,106
Passerina obtusifolia,106
Tetraria bromoides,106
Watsonia aletroides,106
Adenandra marginata,105
Cassine peragua,105
Cassine schinoides,105
Felicia amoena,105
Helichrysum dasyanthum,105
Heliotropium supinum,105
Ixia micrandra,105
Lampranthus swartbergensis,105
Leucospermum prostratum,105
Protea scolymocephala,105
Rafnia angulata,105
Aspalathus hystrix,104
Brunsvigia nervosa,104
Bulbinella trinervis,104
Cyclopia genistoides,104
Ehrharta thunbergii,104
Erica lucida,104
Gnidia pinifolia,104
Indigofera filifolia,104
Leucadendron dubium,104
Leucospermum conocarpodendron,104
Micranthus alopecuroides,104
Protea glabra,104
Restio curviramis,104
Aspalathus sericea,103
Erica parilis,103
Gibbaeum esterhuyseniae,103
Helichrysum rosum,103
Podalyria burchellii,103
Protea subulifolia,103
Psoralea affinis,103
Ursinia cakilefolia,103
Watsonia schlechteri,103
Aloe vera,102
Brunia paleacea,102
Centella virgata,102
Corycium orobanchoides,102
Ficinia filiformis,102
Helichrysum indicum,102
Helichrysum tinctum,102
Lachnaea densiflora,102
Conophytum bilobum,101
Cyanella lutea,101
Cyrtanthus leptosiphon,101
Erica aristata,101
Erica densifolia,101
Ficinia tristachya,101
Hermannia macra,101
Hermbstaedtia odorata,101
Lapeirousia anceps,101
Leucadendron modestum,101
Leucadendron stellare,101
Microdon dubius,101
Polygala africana,101
Tetraria capillacea,101
Thamnochortus fruticosus,101
Trachyandra lanata,101
Triglochin bulbosa,101
Babiana ambigua,100
Erica arcuata,100
Erica melastoma,100
Erica pectinifolia,100
Erica scabriuscula,100
Freesia verrucosa,100
Helichrysum revolutum,100
Hermannia alnifolia,100
Oedera imbricata,100
Pelargonium pinnatum,100
Protea scolopendriifolia,100
Serruria fucifolia,100
Spatalla curvifolia,100
Clutia polifolia,99
Disa inflexa,99
Disa obliqua,99
Gladiolus bullatus,99
Gnidia chrysophylla,99
Haworthia springbokvlakensis,99
Hermannia scabra,99
Lachenalia orchioides,99
Osteospermum pinnatum,99
Pelargonium candicans,99
Phylica nervosa,99
Protea magnifica,99
Diosma ramosissima,98
Elegia stipularis,98
Epilobium tetragonum,98
Erica glandulosa,98
Erica spectabilis,98
Heliophila variabilis,98
Hymenolepis parviflora,98
Justicia leucodermis,98
Kogelbergia verticillata,98
Satyrium coriifolium,98
Watsonia laccata,98
Aspalathus biflora,97
Athanasia dentata,97
Ballota africana,97
Bulbine lagopus,97
Erica gracilis,97
Geissorhiza ovata,97
Gymnosporia acuminata,97
Haemanthus crispus,97
Helichrysum fulvescens,97
Leucadendron chamelaea,97
Leucadendron uliginosum,97
Pelargonium praemorsum,97
Phylica ericoides,97
Sorocephalus lanatus,97
Strumaria truncata,97
Struthiola myrsinites,97
Calobota angustifolia,96
Cyphia digitata,96
Disa bivalvata,96
Erica setacea,96
Gomphocarpus cancellatus,96
Indigofera nigromontana,96
Pelargonium elongatum,96
Searsia pallens,96
Seriphium spirale,96
Asplenium cordatum,95
Cladoraphis spinosa,95
Dilatris pillansii,95
Disa racemosa,95
Enneapogon scaber,95
Erica intervallaris,95
Erica tenella,95
Felicia merxmuelleri,95
Gladiolus trichonemifolius,95
Helichrysum hebelepis,95
Lobelia linearis,95
Lotononis falcata,95
Osteospermum grandiflorum,95
Pentameris patula,95
Restio duthieae,95
Spatalla parilis,95
Stylapterus fruticulosus,95
Tetragonia spicata,95
Aspalathus pachyloba,94
Erica curvirostris,94
Erica leucanthera,94
Erica seriphiifolia,94
Indigofera frutescens,94
Mastersiella spathulata,94
Oxalis purpurea,94
Pentzia incana,94
Protea aurea,94
Pseudopentameris macrantha,94
Wahlenbergia suffruticosa,94
Wahlenbergia wyleyana,94
Acmadenia mundiana,93
Brunsvigia pulchra,93
Conyza scabrida,93
Crassula atropurpurea,93
Cryptocarya hypospodia,93
Erica monsoniana,93
Gnaphalium declinatum,93
Muraltia harveyana,93
Otholobium obliquum,93
Pelargonium alchemilloides,93
Protea cordata,93
Pteronia glauca,93
Salix mucronata,93
Serruria millefolia,93
Tetraria sylvatica,93
Thesium carinatum,93
Tritoniopsis ramosa,93
Ammocharis longifolia,92
Babiana mucronata,92
Bobartia longicyma,92
Erepsia aspera,92
Erica maximiliani,92
Erica sparsa,92
Ixia flexuosa,92
Leucospermum cordifolium,92
Pterygodium acutifolium,92
Pterygodium volucris,92
Salvia africana-caerulea,92
Spatalla caudata,92
Tetraria involucrata,92
Arctotis fastuosa,91
Asclepias macropus,91
Erica pinea,91
Erica taxifolia,91
Erica urceolata,91
Euclea polyandra,91
Ferraria brevifolia,91
Indigofera incana,91
Leucadendron conicum,91
Pelargonium magenteum,91
Pleiospilos compactus,91
Protea coronata,91
Psoralea verrucosa,91
Restio gossypinus,91
Saltera sarcocolla,91
Selaginella pygmaea,91
Trachyandra asperata,91
Argyrolobium lunare,90
Aspalathus parviflora,90
Diastella proteoides,90
Halleria lucida,90
Indigofera meyeriana,90
Lampranthus stipulaceus,90
Leucadendron corymbosum,90
Leucadendron galpinii,90
Leucadendron procerum,90
Mesembryanthemum guerichianum,90
Pentameris uniflora,90
Phylica paniculata,90
Psoralea laxa,90
Schismus schismoides,90
Trachyandra hirsuta,90
Trachyandra prolifera,90
Aspalathus asparagoides,89
Dimorphotheca pluvialis,89
Erica eriocephala,89
Eucalyptus marginata,89
Lapeirousia jacquinii,89
Leucadendron laureolum,89
Satyrium bracteatum,89
Aristida diffusa,88
Aspalathus heterophylla,88
