region,lon,lat,Elevation,MAP,PDQ,Surface_T,NDVI,CEC,Clay,Soil_C,pH,PC1,PC2
GCFR,22.7,-33.55,1.8066563909230755,1.4985549435209622,2.3737188291828666,0.632663779033815,-0.24137802461719826,-0.04336415462319582,-0.18275289883661788,1.2994776082423736,1.0293496750725855,2.8795516031481885,-1.9143003245355956
GCFR,22.8,-33.55,1.9983894722248214,2.0546852502561666,2.958770755634434,1.4532133882154508,-0.15258063737327002,-1.6492685759589676,-0.13503026171949417,1.1660290029478162,0.9414002655066084,3.171494093082592,-2.962988418306345
GCFR,22.9,-33.55,2.3790899221649804,2.2515991848850745,3.203654556463771,1.970852708026941,-0.6876776173998008,-1.16581711898862,0.1555714383776006,1.2726663253846888,0.7326185174699638,3.6746429041108684,-3.233071609617423
GCFR,23,-33.55,1.9706921102233883,1.5462862304186191,2.371856972496276,1.1833143094619647,-0.058258351821054995,-0.27907151040158357,0.8364752113754684,0.419122516258602,0.39676592642299574,2.879990147490612,-1.9279762181236895
GCFR,23.1,-33.55,0.46474743904633964,1.0630585461059983,1.9544030955201845,0.4340991441876026,0.5939913125761025,0.05340917855423756,0.0016759402574737514,0.030854053148225286,0.3563624555939271,1.6913536981054802,-1.1346684761213075
GCFR,23.2,-33.55,1.2518959504707299,1.5397233866824993,2.3239565011136576,1.351838210117638,-0.16411618595167107,-3.126833382495386,1.0586848659054737,0.4644446045544035,0.36769551952266893,1.8826049742149782,-2.4373045847582917
GCFR,23.3,-33.55,1.7016711531994244,1.660288257146592,2.3376235337124855,1.151749692526709,-0.5710510811011525,0.370719206901755,0.32420555301083903,0.900125063706442,0.7163688808401774,2.985892728765956,-1.828160692214723
GCFR,23.4,-33.55,1.796369059962178,1.8284159386151557,2.4178557290433105,1.3208512560956158,0.10487459604211152,0.06848718916594355,0.27515367132669927,0.9722263068751296,0.8123150108311201,3.3498930512533933,-1.8775097846205024
GCFR,23.5,-33.55,1.9215020574906594,2.1481935155951564,2.759901763507223,1.605392283328712,0.41879738342214207,1.1347930856222161,-1.240323348472333,1.4257316552355934,0.885807423019646,3.9808159593453,-2.397673507637122
GCFR,23.6,-33.55,1.4721874691710184,2.280110115535382,3.0291657411826094,1.1422498017211156,0.7219316199652802,1.2503730655668346,-0.17535517874024698,1.2132541375193386,0.4984375270600216,3.9481278819330097,-2.01226337391357
GCFR,23.7,-33.55,1.6000306770491646,2.0400100010558373,2.6905386872422565,0.8603521198857564,-0.6676180072162536,-0.41136649950080956,-0.36239666599947923,-0.30090998109169287,0.31602906423224153,2.0975403211090207,-2.8972205796727484
GCFR,23.8,-33.55,1.7434245551211327,1.7945121166384876,2.246565166603121,0.45998536388335537,-0.871297703638585,-0.5604862429964171,-0.06328995647462357,0.36412550199169486,0.35554486635336163,1.9697292829354933,-2.556571741934096
GCFR,23.9,-33.55,1.3173434724664828,0.7877819641314296,1.005935497204643,0.9670252539507087,0.3178584636198754,-0.4956619598355806,-0.7193867247031487,0.3040638744846914,0.3897804428666892,1.492356952354586,-1.448031679562078
GCFR,24,-33.55,1.878398185290311,2.0727741666763966,1.993886475730604,2.153753398008932,0.7521295551323001,0.48560018252645826,0.9697226955083782,0.28754128161665166,0.4332003800177847,3.783990408745936,-1.4727977373210035
GCFR,24.1,-33.55,1.8634532640325066,1.589038328336961,1.6211872306543973,1.4786364776718264,0.28545583470338864,-0.7076973518087858,0.2669594115212536,-0.182361482230952,0.21816931399751038,2.307614831248414,-1.9984742154842643
