region,dgc,lat,lon,n_collections,DS_richness,mean_HDS_richness
SWAFR,E120S35,-35.5,120.5,NA,NA,NA
SWAFR,E120S34,-34.5,120.5,NA,NA,NA
SWAFR,E120S32,-32.5,120.5,NA,NA,NA
SWAFR,E120S31,-31.5,120.5,NA,NA,NA
SWAFR,E120S30,-30.5,120.5,NA,NA,NA
SWAFR,E120S29,-29.5,120.5,NA,NA,NA
SWAFR,E120S28,-28.5,120.5,NA,NA,NA
SWAFR,E120S27,-27.5,120.5,NA,NA,NA
SWAFR,E120S26,-26.5,120.5,NA,NA,NA
SWAFR,E120S25,-25.5,120.5,NA,NA,NA
SWAFR,E121S35,-35.5,121.5,NA,NA,NA
SWAFR,E121S34,-34.5,121.5,NA,NA,NA
SWAFR,E121S32,-32.5,121.5,NA,NA,NA
SWAFR,E121S31,-31.5,121.5,NA,NA,NA
SWAFR,E121S30,-30.5,121.5,NA,NA,NA
SWAFR,E121S29,-29.5,121.5,NA,NA,NA
SWAFR,E121S28,-28.5,121.5,NA,NA,NA
SWAFR,E121S27,-27.5,121.5,NA,NA,NA
SWAFR,E121S26,-26.5,121.5,NA,NA,NA
SWAFR,E121S25,-25.5,121.5,NA,NA,NA
SWAFR,E122S35,-35.5,122.5,NA,NA,NA
SWAFR,E122S34,-34.5,122.5,NA,NA,NA
SWAFR,E122S32,-32.5,122.5,NA,NA,NA
SWAFR,E122S31,-31.5,122.5,NA,NA,NA
SWAFR,E122S30,-30.5,122.5,NA,NA,NA
SWAFR,E122S29,-29.5,122.5,NA,NA,NA
SWAFR,E122S28,-28.5,122.5,NA,NA,NA
SWAFR,E122S27,-27.5,122.5,NA,NA,NA
SWAFR,E122S26,-26.5,122.5,NA,NA,NA
SWAFR,E122S25,-25.5,122.5,NA,NA,NA
SWAFR,E123S35,-35.5,123.5,NA,NA,NA
SWAFR,E123S34,-34.5,123.5,NA,NA,NA
SWAFR,E123S33,-33.5,123.5,NA,NA,NA
SWAFR,E123S32,-32.5,123.5,NA,NA,NA
SWAFR,E123S31,-31.5,123.5,NA,NA,NA
SWAFR,E123S30,-30.5,123.5,NA,NA,NA
SWAFR,E123S29,-29.5,123.5,NA,NA,NA
SWAFR,E123S28,-28.5,123.5,NA,NA,NA
SWAFR,E123S27,-27.5,123.5,NA,NA,NA
SWAFR,E123S26,-26.5,123.5,NA,NA,NA
SWAFR,E123S25,-25.5,123.5,NA,NA,NA
SWAFR,E124S35,-35.5,124.5,NA,NA,NA
SWAFR,E124S34,-34.5,124.5,NA,NA,NA
SWAFR,E124S33,-33.5,124.5,NA,NA,NA
SWAFR,E124S32,-32.5,124.5,NA,NA,NA
SWAFR,E124S31,-31.5,124.5,NA,NA,NA
SWAFR,E124S30,-30.5,124.5,NA,NA,NA
