region,qdgc,Elevation,MAP,PDQ,Surface_T,NDVI,CEC,Clay,Soil_C,pH,PC1,PC2
GCFR,E016S28BD,1.4109541366271987,0.8452674715506411,-0.9542914041229096,1.7021533938333047,-0.049395893067964346,1.1689135621461995,1.120769675060446,0.7113040118964638,2.012816195664014,2.650525381547668,-1.4904271779621885
GCFR,E016S28DA,0.7102472812669182,0.5709551843549122,0.08528869281632598,1.6560268241376823,0.7484165526553688,0.7908853486296192,1.5292996537356043,0.6134563908998601,1.4665007696828958,2.684385656105226,-1.26033327483374
GCFR,E016S28DB,1.4060409172934925,0.6255816887608248,-0.8641780116203615,0.6903269769675905,0.018338774893952373,0.2056173278021319,1.5120714097232009,0.9182168350511231,1.5469863639462376,1.9527550872424444,-1.2143430233939783
GCFR,E016S28DD,0.6749107856671565,-0.7615801256431366,0.05830643142018171,0.7330377397103998,0.09788219194148519,0.9918887453884906,0.7574047299925253,-0.561003627196871,1.385905981665675,1.0379305759441473,-1.3904343853856629
GCFR,E016S29BB,1.1471098377231372,-0.21717236162764308,1.2474354851302378,1.4005186419510391,-0.7122793018691205,-1.750468372236924,1.3140142985602552,0.7958372019977094,0.5369480462312184,1.3336072560928396,0.4972699489317222
GCFR,E017S28AA,1.9231846997600366,-0.8355185784625643,0.21471655543572693,0.6953390448816533,0.42199417244515497,1.861233479523612,0.9496736840445272,-1.620268855418113,1.6265671327517521,1.5760113481609468,-1.4740350323606095
GCFR,E017S28AC,1.7017410050484054,0.8267820711146509,0.3839769751020953,2.0324418300506615,0.9067129216900802,-0.24501439850315673,2.293336775518147,0.7827782728259117,1.2674102199251551,3.3031282488294105,-0.7305873531298601
GCFR,E017S28AD,-0.7865083999196881,-1.1930019747773661,-3.488748718881934,0.5159029562014235,-2.0996883794653267,-1.0413964625911474,0.7290225312081218,0.39456734978235064,1.308935184465672,-1.8686628481332637,-2.7407028314529738
GCFR,E017S28CA,1.9720518742614985,0.5184129484875014,-0.09532640502815713,1.6298964332140227,0.7398076544475505,0.5462613904369992,2.1044228391213564,1.1482152857527788,1.4670900906602602,3.296516248484489,-1.218195939825179
GCFR,E017S28CB,1.4384841925992387,0.11354306559429772,-0.94141624697441,1.2018624212146247,-5.836069595607276e-4,1.057469709662688,2.3683413418892947,-0.1349565851173467,0.825161058918381,1.791310861372563,-1.8522833718701939
GCFR,E017S28CC,1.7938602650541189,-0.8702950301963589,-0.2394556237138838,0.7668001406020487,0.6730411918305166,-0.38523113084377186,2.3323074810687903,1.0156100437171358,1.3839485068117974,2.065827453545546,-1.6778855399676647
GCFR,E017S28CD,1.1792175030204954,0.34033969539691056,0.25279002204956863,1.437234402440334,0.7969555614629662,1.0829353299864322,1.0833105488613877,1.0229292302026103,1.4416730310040091,2.877010864977512,-1.01300272510198
GCFR,E017S28DC,0.669422489292424,0.34723106536403014,0.4992439003463587,0.989261767303712,-3.46926427005207,1.7434443640832613,0.8536576168225971,0.6047411058318979,1.7078322708024682,1.1556721605767426,-0.800090645207903
GCFR,E017S28DD,0.4510873839336627,-1.2940053776689597,-2.144141743630059,1.438883121592052,-0.677001504442823,1.8103584965443098,1.8349748139748672,-0.057047010414796935,1.9310764003690635,0.9369390303738288,-3.6688732885352113
GCFR,E017S29AA,1.1428196235746135,0.2736330441668005,-0.5774724830543495,0.03022285713820005,-0.38399558226468716,1.1537407889904867,-0.02044238127143564,1.9791237142514524,1.5307490565091193,1.725799866990942,-0.7968227251425367
GCFR,E017S29AB,1.486233203106242,-1.9209903351080881,-0.22667068811961627,0.6759612297074706,0.22184506716458782,1.423198254864752,1.4649367417773456,1.3129466090584476,1.8531497332691147,1.9955257056857176,-2.5014526905599976
GCFR,E017S29AC,0.3851878722173607,-0.20005305711376056,0.623818482889465,1.3607929823067193,-0.6987648682665235,1.725457291796585,0.7246857876062862,0.8580425573169657,0.9688591630757282,1.8682406906094033,-0.9774857098097562
GCFR,E017S29AD,0.8200003017239291,0.14547947860095778,-0.6710580856475805,0.6189390384373962,-1.5730063375317707,0.8922913689933883,0.3583269849035293,0.20734105555748514,1.3231095707322684,0.6590387352875968,-0.8850091263170587
GCFR,E017S29BA,1.6596645154314094,0.7456896276167522,0.6023183686254301,1.1638142559174607,0.5757872610326175,0.9850851779796179,2.1169936334477493,1.1849399218203456,1.460706933103268,3.371377847254379,-0.9940355841991111
GCFR,E017S29BB,1.0427615422785896,0.4886281034804774,-0.4568268247388822,1.604807651909169,-0.4897145444140722,0.41427668516923455,0.6908575662379,1.433242437749051,1.557203688879866,2.1772886929502535,-0.8476925406597662
GCFR,E017S29BC,1.6614818581699289,0.396228455503428,0.15947241453222863,0.5434085679262012,-0.5419219133126658,1.1926004975733573,0.273477827019281,-0.12874854918601844,-1.052694650100278,0.8080533100359691,0.6798204113992189
GCFR,E017S29BD,1.1672674454385548,0.3573792780558254,-0.10375671877514782,0.20026834407113642,-1.1941334681881002,0.7468235357133493,0.46439566390176235,1.0573483112973274,0.5654188649954075,1.0428149444831807,-0.16046665612342093
GCFR,E017S29CA,-0.1817478478219506,-0.3670964448525197,1.3037900687236466,0.9016672115429972,0.3882766438580889,-0.5264655598937423,1.0735930797994273,-1.1611331527268987,1.3366604562636462,0.8453789260403543,-0.5756608593316301
GCFR,E017S29CB,0.7893789010101492,-0.06094200346856422,0.4001024058533133,0.38567076656325167,-0.008857388133193934,1.8545361056918999,0.08319627947382296,0.8886609645612016,1.5505208907831212,1.911491764155146,-0.9023791708390763
