species,n_collections
Paranomus centaureoides,178
Elegia deusta,177
Erica placentiflora,177
Geissorhiza aspera,177
Helichrysum moeserianum,176
Platycaulos acutus,176
Erica cubica,175
Moraea miniata,175
Ehrharta capensis,174
Ehrharta longiflora,174
Erica eburnea,174
Leucadendron loranthifolium,174
Mastersiella digitata,174
Restio vimineus,174
Athanasia trifurcata,173
Caesia contorta,173
Cannomois parviflora,173
Erica bergiana,173
Erica lutea,173
Erica uberiflora,173
Holothrix villosa,173
Phylica linifolia,173
Saltera sarcocolla,172
Ursinia nana,172
Protea lorifolia,171
Wiborgia obcordata,171
Aspalathus pinguis,170
Erica sessiliflora,170
Helichrysum odoratissimum,170
Hypocalyptus coluteoides,170
Lobelia coronopifolia,170
Metrosideros angustifolia,170
Podalyria calyptrata,170
Aspalathus abietina,169
Athanasia dentata,169
Bulbinella cauda-felis,169
Clutia alaternoides,169
Helichrysum litorale,169
Leucadendron nitidum,169
Podalyria glauca,169
Erica regia,168
Erica sitiens,168
Glottiphyllum longum,168
Juncus capensis,168
Erica globiceps,167
Heliophila juncea,167
Leucospermum oleifolium,167
Mesembryanthemum tortuosum,167
Pseudopentameris macrantha,167
Stipagrostis obtusa,167
Struthiola ciliata,167
Clutia polygonoides,166
Euphorbia mauritanica,166
Kniphofia uvaria,166
Ornithogalum hispidum,166
Thesium virgatum,166
Aspalathus callosa,165
Disa bracteata,165
Erica glandulosa,165
Oxalis senecta,165
Cotyledon orbiculata,164
Leucadendron dubium,164
Encephalartos latifrons,163
Haworthia mirabilis,163
Lapeirousia fabricii,163
Pteronia teretifolia,163
Elegia microcarpa,162
Erica ecklonii,162
Leipoldtia schultzei,162
Leucadendron salicifolium,162
Hemimeris racemosa,161
Lachnaea densiflora,161
Metalasia muricata,161
Moraea gawleri,161
Nerine humilis,161
Trichocephalus stipularis,161
Erica fastigiata,160
Euclea racemosa,160
Gnidia oppositifolia,160
Isolepis marginata,160
Muraltia ciliaris,160
Psoralea restioides,160
Serruria phylicoides,160
Disperis capensis,159
Lachnaea grandiflora,159
Leucadendron teretifolium,159
Leucospermum conocarpodendron,159
Oedera uniflora,159
Podalyria pearsonii,159
Calobota cytisoides,158
Cliffortia ruscifolia,158
Gymnosporia buxifolia,158
Protea mundii,158
Erica glomiflora,157
Hermannia lavandulifolia,157
Hordeum murinum,157
Leucospermum rodolentum,157
Podalyria biflora,157
Prismatocarpus diffusus,157
Calobota sericea,156
Ixia dubia,156
Lachenalia peersii,156
Oxalis flaviuscula,156
Gorteria diffusa,155
Helichrysum rosum,154
Thesium litoreum,154
Aspalathus flexuosa,153
Clutia ericoides,153
Disparago ericoides,153
Elegia stipularis,153
Geochloa rufa,153
Haworthia arachnoidea,153
Hertia alata,153
Lampranthus scaber,153
Rhynchopsidium pumilum,153
Asparagus microraphis,152
Lanaria lanata,152
Protea punctata,152
Thamnochortus cinereus,152
Mystroxylon aethiopicum,151
Phylica ericoides,151
Cephalophyllum inaequale,150
Cyclopia genistoides,150
Gastrodia sesamoides,150
Gnidia pinifolia,150
Lobostemon echioides,150
Phylica imberbis,150
Podalyria burchellii,150
Felicia oleosa,149
Gymnosporia acuminata,149
Helichrysum fulvescens,149
Agathosma bifida,148
Conyza scabrida,148
Dodonaea angustifolia,148
Erica verecunda,148
Euchaetis pungens,148
Felicia tenella,148
Hermannia incana,148
Pelargonium patulum,148
Stoebe capitata,148
Aspalathus cephalotes,147
Babiana angustifolia,147
Cyrtanthus leptosiphon,147
Erica lateralis,147
Ferraria variabilis,147
Heliophila descurva,147
Hesperantha radiata,147
Stoebe aethiopica,147
Willdenowia incurvata,147
Aspalathus joubertiana,146
Berzelia intermedia,146
Gnaphalium vestitum,146
Gomphocarpus filiformis,146
Pentameris dregeana,146
Protea longifolia,146
Trachyandra revoluta,146
Willdenowia glomerata,146
Aspalathus bracteata,145
Cryptocarya hypospodia,145
Helichrysum spiralepis,145
Huernia echidnopsioides,145
Psoralea aphylla,145
