region,QDS_richness,Elevation,MAP,PDQ,Surface.T,NDVI,CEC,Clay,Soil.C,pH,rough_Elevation,rough_MAP,rough_PDQ,rough_Surface.T,rough_NDVI,rough_CEC,rough_Clay,rough_Soil.C,rough_pH,log_QDS_richness
GCFR,199,233.556889771239,128.017179586269,7.31231170507881,308.643275462963,14404870.9831154,4.66221771637599,4.47504578034083,40.5174286365509,74.0001859664917,158.952806784598,31.6785750833103,1.06450741683503,2.21692509129286,2952994.57509122,2.57147302652613,3.89413571092936,6.16213666238853,8.34138531416735,5.29330482472449
GCFR,378,691.9430716694,109.623216196696,9.12450154510704,304.338109586057,20806568.8453159,7.87453937530518,15.4485130500793,52.1693299865723,63.4291488647461,265.564588665851,21.4803931246132,1.38076111285257,2.75560388269043,5830260.65146673,1.8706394548335,6.53304666287889,13.3897789204929,4.31689992984362,5.93489419561959
GCFR,6,540.394953825294,79.1519790225559,6.81415403747921,307.049822076979,12755251.452433,10.0080363220639,10.2650116019779,41.3488099839952,63.2010748121474,91.9926839991355,9.91411133718239,1.15089875412377,1.13417846898022,3076526.34888708,1.30663750113439,1.72571777976331,5.31283735162318,2.47106258343428,1.79175946922805
GCFR,194,258.730412747033,82.3842587916056,7.77959651016795,307.043753376906,19114017.211329,5.64119099617004,8.33128036499023,24.5759951019287,72.5060028076172,162.047305297919,15.5159515781184,1.2804613691549,2.53291345256304,3410339.30359097,2.0369850407043,3.0094193988543,10.4893685581522,14.9862479204609,5.26785815906333
GCFR,217,443.805511820973,91.3086936908298,8.16763079778926,306.678300653595,16894655.0108932,5.52273549079895,9.78846193313599,32.7564458465576,68.8710325622559,156.7423442536,13.6902128956855,1.23963135967205,1.18708971546437,2069360.54511398,1.77286231601011,1.70857111512879,8.90071637101179,4.70594845359708,5.37989735354046
GCFR,305,628.671608323268,86.0509672650584,8.6159260923041,305.9738777687,15391335.7843139,8.62986520926158,11.4715063373248,38.0217826366425,64.9840919176738,119.105711938275,16.1912335865365,1.30673684780045,1.0179374148965,2772433.73729114,1.26023519032531,1.54733898166153,4.63862819764349,2.58683514250649,5.72031177660741
GCFR,3,472.609705823518,75.7545383241441,6.51749689275915,308.819590958606,9695768.24618741,9.90792388916016,9.64775476455688,33.44169921875,64.6147399902344,134.538242075799,17.404949430713,2.33787689404954,2.3195045349622,4384934.71573816,1.71560690917666,1.25358294415095,6.78035086601499,4.5029047045632,1.09861228866811
GCFR,5,602.9334760558,69.4941153208415,7.15646894757633,307.617598039216,12116488.5620914,6.80744562149048,8.26653852462769,23.9975105285645,73.9947174072266,80.9821764129429,18.2295754542881,2.21984742268135,1.52148742919393,1959278.56209156,1.08186987686157,1.34978288459778,7.72859466648102,5.70469090270996,1.6094379124341
GCFR,131,142.372404426554,91.9918211877058,11.6220041455834,303.473154162128,18964450.8383062,7.49739989367398,10.0004152679443,21.1806724288247,54.4383113098145,118.414384309046,10.010593862012,2.02098859055666,2.59553539670602,2094562.90665487,1.72180930237641,2.2661071556839,8.87941713421348,19.8060073797537,4.87519732320115
GCFR,292,346.365420428799,105.772870407104,8.68631329275824,306.068193681917,18365399.1285403,6.1987793636322,10.035299949646,39.924489440918,71.6582556152344,152.004411996179,15.0932606701915,1.61818852830352,1.27853489722019,1018470.40232506,1.93028035791635,1.04273228855873,9.13939845091566,8.67323694570197,5.67675380226828
GCFR,82,530.69659183806,118.011421144274,11.3492610096001,305.556309586057,17714577.124183,7.90458034515381,10.1165677070618,44.9070575714111,70.2417185974121,143.689736710484,22.4913312358817,2.20931211141805,1.05451368817069,1828781.31203096,1.3621924635216,0.817775110580303,9.63852058092753,3.06731545695552,4.40671924726425
GCFR,432,708.759982603643,117.873086395264,11.4090267552699,304.604111111111,17023296.8409587,8.22303974151611,10.5742369270325,39.0228315734863,66.1527299499512,150.567057322271,26.7388994016961,2.05742834100904,1.51703501472605,2394126.44638103,1.22075359362143,1.55960447302571,7.23260461277432,4.79866430000023,6.06842558824411
GCFR,239,765.969316825638,93.2594608052572,10.1252827726721,305.879295424837,13868202.7233116,6.0655525970459,6.09019391059875,24.9571167373657,77.8071098327637,133.927845937151,28.5573643347952,2.10781245424422,1.57309094498911,2591994.13126363,1.61102261304855,3.1112386405468,7.4669566065073,6.00010626792908,5.47646355193151
GCFR,1,769.234492074085,96.9228512882407,13.7092060744815,306.951855696527,14355753.3961297,4.17801078628091,7.31317065743839,12.8097413006951,82.1479685166303,68.3847387317194,11.8697321652039,2.51139832510288,1.13649864210084,338821.484148891,1.35242883097946,0.635291078721912,6.29232880111408,1.96379106049854,0
GCFR,19,942.171031340535,105.039101494683,17.436150061048,304.52783405955,13918845.9210845,6.63511615329319,8.12158001793755,38.1337483723958,75.9789911905925,110.756066087852,9.67849001067294,2.89584977759804,1.5071515005273,601713.345488741,0.935187640645079,0.7938578742898,21.1696239393794,3.91097318810445,2.94443897916644
GCFR,2,706.939532419659,90.1050763252454,11.7269937078604,307.956334841629,13077909.1251886,5.37144741645226,6.95021952115572,13.0405364770156,78.2216556255634,186.47351458932,32.4427628969807,5.93274927887739,2.4867793977991,1127694.19407045,1.06315467910549,1.5492088801297,5.34253029485034,1.5047353369558,0.693147180559945
GCFR,11,47.0588660062738,96.6281284074935,12.7841535952855,300.621337872186,17073151.47664,10.0845464865367,6.28293493203819,37.0540095965068,27.1912969027956,93.917513646745,15.3932369237706,2.84003516982634,3.07270925731405,1882391.72165913,2.63002637759948,3.93906101816277,9.8344470342826,28.2561339344551,2.39789527279837
