"","x"
"1","Elevation"
"2","MAP"
"3","PDQ"
"4","CEC"
"5","Clay"
"6","pH"
"7","rough_Elevation"
"8","rough_MAP"
"9","rough_Surface.T"
"10","rough_CEC"
"11","rough_Clay"
"12","rough_Soil.C"
