region,hdgc,HDS_richness,n_QDS,mean_QDS_richness,mean_QDS_jaccard,add_residual_turnover,add_residual_turnover_prop,mul_residual_turnover
SWA,E114S27A,403,4,144.25,0.851078501709293,258.75,0.642059553349876,2.7937608318890814
SWA,E117S30A,507,4,207.75,0.768437794576542,299.25,0.5902366863905325,2.44043321299639
SWA,E117S30D,582,4,225,0.805852410554696,357,0.6134020618556701,2.5866666666666664
SWA,E115S30D,1081,4,491.25,0.705569709868157,589.75,0.5455596669750231,2.200508905852417
SWA,E116S31C,1900,4,902.5,0.663206513946546,997.5,0.525,2.1052631578947367
SWA,E115S31A,289,2,177.5,0.771626297577855,111.5,0.38581314878892736,1.628169014084507
SWA,E114S29B,518,2,312.5,0.793436293436293,205.5,0.3967181467181467,1.6576
SWA,E116S31A,1276,4,584,0.70232519218658,692,0.542319749216301,2.184931506849315
SWA,E117S29B,341,4,109.5,0.933099200258704,231.5,0.6788856304985337,3.1141552511415527
SWA,E116S32D,811,4,313.75,0.813629239923271,497.25,0.6131319358816276,2.5848605577689243
SWA,E119S32B,763,4,320,0.768944103860492,443,0.580602883355177,2.384375
SWA,E118S30D,541,3,232,0.850437002038561,309,0.5711645101663586,2.331896551724138
SWA,E117S32C,1124,4,520,0.690108370357052,604,0.5373665480427047,2.1615384615384614
SWA,E118S34B,1260,4,528.75,0.770001933300271,731.25,0.5803571428571429,2.382978723404255
SWA,E116S33B,803,4,302.75,0.826857791215061,500.25,0.6229763387297634,2.652353426919901
SWA,E116S28A,276,4,88.75,0.929697620542907,187.25,0.6784420289855072,3.1098591549295773
SWA,E118S30C,502,4,202.5,0.787286365847536,299.5,0.5966135458167331,2.4790123456790125
SWA,E121S32C,645,4,243.25,0.826509188017498,401.75,0.6228682170542635,2.6515930113052417
SWA,E121S32D,487,4,159.5,0.911559437432588,327.5,0.6724845995893224,3.053291536050157
SWA,E120S32B,135,3,47,0.985074626865672,88,0.6518518518518519,2.872340425531915
SWA,E119S33D,1362,4,586.75,0.752005746760709,775.25,0.5691997063142438,2.3212611844908393
SWA,E117S32D,860,4,357.25,0.773919310181562,502.75,0.584593023255814,2.4072778166550033
SWA,E118S30A,160,3,57,0.975889850889851,103,0.64375,2.807017543859649
SWA,E116S32A,1733,4,857.25,0.631392014156805,875.75,0.5053375649163301,2.021580635753864
SWA,E116S33A,891,4,425.5,0.684815027789889,465.5,0.5224466891133558,2.0940070505287895
SWA,E116S32C,970,4,419,0.735947662994342,551,0.568041237113402,2.315035799522673
SWA,E117S34A,857,4,318.5,0.833931074253649,538.5,0.6283547257876313,2.6907378335949765
SWA,E120S32A,316,4,101.5,0.91185177044826,214.5,0.6787974683544303,3.1133004926108376
SWA,E115S33C,1692,4,878.75,0.620460603636891,813.25,0.48064420803782504,1.9254623044096728
SWA,E115S33B,1478,4,666,0.745810497411187,812,0.5493910690121786,2.219219219219219
SWA,E116S33D,1058,4,429.5,0.782421252016594,628.5,0.5940453686200378,2.463329452852154
SWA,E119S31D,433,3,180.33333333333334,0.887827945688079,252.66666666666666,0.5835257890685143,2.401109057301294
SWA,E122S33C,944,4,386.25,0.786345736405624,557.75,0.5908368644067796,2.4440129449838186
SWA,E118S34C,1469,4,690.75,0.689998766800676,778.25,0.529782164737917,2.126673905175534
SWA,E117S34D,1873,4,986.75,0.600936035877893,886.25,0.4731713828083289,1.898150494046111
SWA,E123S33C,766,4,294,0.815474397191926,472,0.6161879895561357,2.6054421768707483
SWA,E121S33C,796,4,351.25,0.753471462612262,444.75,0.5587311557788944,2.2661921708185053
SWA,E118S34D,794,2,500.5,0.739294710327456,293.5,0.369647355163728,1.5864135864135864
SWA,E120S33D,829,4,336.5,0.797767527408045,492.5,0.5940892641737032,2.463595839524517
SWA,E122S33D,813,4,388.25,0.674700102762605,424.75,0.5224477244772447,2.094011590470058
SWA,E121S33D,1073,4,411.75,0.837483427337192,661.25,0.6162628145386766,2.6059502125075897
SWA,E123S33A,842,4,288.25,0.889048007841593,553.75,0.6576603325415677,2.9210754553339116
SWA,E123S33B,140,3,48.666666666666664,0.981232040229885,91.33333333333334,0.6523809523809524,2.8767123287671232
SWA,E115S30A,1434,4,796,0.5767569033025,638,0.44490934449093444,1.8015075376884422
SWA,E115S34A,1335,4,722.5,0.59555339115407,612.5,0.45880149812734083,1.8477508650519032
SWA,E117S35B,1604,2,1097.5,0.631546134663342,506.5,0.3157730673316708,1.461503416856492
SWA,E117S34C,1345,4,625.5,0.714251804731982,719.5,0.5349442379182157,2.150279776179057
SWA,E116S34A,1278,4,622.25,0.664061440910263,655.75,0.5131064162754304,2.053836882282041
SWA,E115S34B,933,4,433.25,0.690478266562809,499.75,0.5356377277599143,2.153491055972302
SWA,E116S34D,1222,4,650,0.612172516528026,572,0.46808510638297873,1.88
SWA,E114S28A,585,3,270.6666666666667,0.814184174793215,314.3333333333333,0.5373219373219373,2.1613300492610836
SWA,E115S33D,1412,4,686.5,0.659739119261876,725.5,0.5138101983002833,2.0568099053168245
SWA,E116S34C,942,4,461,0.66486591207332,481,0.5106157112526539,2.0433839479392626
SWA,E115S32D,1446,4,698,0.688778096834872,748,0.5172890733056709,2.0716332378223496
SWA,E117S35A,504,2,324.5,0.712301587301587,179.5,0.35615079365079366,1.5531587057010785
SWA,E114S33D,331,2,173,0.954682779456193,158,0.4773413897280967,1.9132947976878614
SWA,E113S26B,130,3,52,0.909166166998704,78,0.6,2.5
SWA,E115S27C,69,4,18,0.991803278688525,51,0.7391304347826086,3.8333333333333335
SWA,E120S32C,428,4,136.75,0.914285581449183,291.25,0.6804906542056075,3.129798903107861
SWA,E126S32A,198,3,81.66666666666667,0.889070747394101,116.33333333333333,0.5875420875420875,2.424489795918367
SWA,E122S32D,95,4,24.5,0.993417874396135,70.5,0.7421052631578947,3.877551020408163
SWA,E118S29C,67,4,17.75,0.984153195837978,49.25,0.7350746268656716,3.7746478873239435
SWA,E117S28A,71,4,20.75,0.896281203696818,50.25,0.7077464788732394,3.4216867469879517
SWA,E115S30C,745,4,248.5,0.914907645698464,496.5,0.6664429530201342,2.9979879275653922
SWA,E116S34B,1090,4,496.25,0.730588144663558,593.75,0.5447247706422018,2.1964735516372795
SWA,E119S34B,626,3,214.33333333333334,0.990905062247506,411.66666666666663,0.6576144834930777,2.920684292379471
SWA,E122S33B,453,4,156.5,0.859872538396623,296.5,0.6545253863134658,2.8945686900958467
SWA,E114S29D,159,2,96,0.792452830188679,63,0.39622641509433965,1.65625
SWA,E115S34D,353,3,124,0.973392079248934,229,0.6487252124645893,2.846774193548387
SWA,E123S32C,144,3,51.333333333333336,0.968670245876128,92.66666666666666,0.6435185185185185,2.8051948051948052
SWA,E123S33D,505,4,170.25,0.917062540769733,334.75,0.6628712871287129,2.9662261380323054
SWA,E125S32B,49,4,13,0.981481481481482,36,0.7346938775510204,3.769230769230769
SWA,E124S32D,147,3,59.666666666666664,0.890526900415339,87.33333333333334,0.5941043083900227,2.463687150837989
SWA,E114S26C,84,3,35.333333333333336,0.908681765389083,48.666666666666664,0.5793650793650793,2.3773584905660377
SWA,E122S32A,43,2,22,0.976744186046512,21,0.4883720930232558,1.9545454545454546
SWA,E116S35B,763,2,519,0.639580602883355,244,0.3197903014416776,1.4701348747591523
SWA,E113S27B,158,2,83,0.949367088607595,75,0.47468354430379744,1.9036144578313252
SWA,E122S34A,176,2,96.5,0.903409090909091,79.5,0.45170454545454547,1.8238341968911918
SWA,E125S32C,93,2,54.5,0.827956989247312,38.5,0.41397849462365593,1.7064220183486238
SWA,E122S32C,57,4,14.25,1,42.75,0.75,4
SWA,E122S32B,54,4,14.75,0.981458333333333,39.25,0.7268518518518519,3.6610169491525424
SWA,E118S29A,29,2,15,0.96551724137931,14,0.4827586206896552,1.9333333333333333
SWA,E118S29B,5,2,2.5,1,2.5,0.5,2
SWA,E124S32C,14,2,7,1,7,0.5,2
SWA,E118S29D,14,2,7.5,0.928571428571429,6.5,0.4642857142857143,1.8666666666666667
