scale,region,PC1_residual,multivariate_residual,PC1_residual2,multivariate_residual2
DS,GCFR,811.8933119354369,6.218165529202625,588.5843178291192,6.218165529202625
DS,SWAFR,311.7978721863504,226.49906984582998,297.22367950245484,226.49906984582998
HDS,GCFR,638.6161954992405,519.1933119108908,460.3899153415432,360.4742309824443
HDS,SWAFR,334.14939776285087,290.8958396108268,326.0616383046206,273.3089488145265
QDS,GCFR,343.45735631985883,312.8926784689628,234.93120032731306,217.56096257129303
QDS,SWAFR,245.77349875645473,223.0539503103842,203.90596807645244,174.965781827295
