region,hdgc,HDS_richness,n_QDS,mean_QDS_richness,mean_QDS_jaccard,avg_no_spp_diff,add_residual_turnover,add_residual_turnover_prop,mul_residual_turnover
Cape,E020S32B,257,4,72,0.975485528207061,250.69978074921468,185,0.7198443579766537,3.5694444444444446
Cape,E018S34A,2092,2,1125,0.924474187380497,1933.9999999999998,967,0.46223709369024857,1.8595555555555556
Cape,E019S33D,1819,4,653.5,0.844555262539352,1536.2460225590812,1165.5,0.6407366684991753,2.7834736036725327
Cape,E024S33D,916,4,317.75,0.867167745572811,794.3256549446949,598.25,0.6531113537117904,2.882769472856019
Cape,E017S28A,599,3,204,0.992698096187627,594.6261596163886,395,0.659432387312187,2.9362745098039214
Cape,E022S33A,1335,4,428,0.931732654923501,1243.8630943228738,907,0.6794007490636704,3.119158878504673
Cape,E016S28D,355,4,103.25,0.958254145740877,340.1802217380113,251.75,0.7091549295774648,3.4382566585956416
Cape,E022S33D,1696,4,593.5,0.865735073831978,1468.2866852190348,1102.5,0.6500589622641509,2.857624262847515
Cape,E022S33C,1692,4,599.5,0.867968410850746,1468.6025511594623,1092.5,0.6456855791962175,2.822351959966639
Cape,E022S34A,687,2,350,0.981077147016012,674.0000000000002,337,0.49053857350800584,1.9628571428571429
Cape,E021S34A,1772,4,632.75,0.893680489239507,1583.6018269324065,1139.25,0.6429176072234764,2.8004741209008297
Cape,E021S33D,906,4,284.75,0.921890759851809,835.233028425739,621.25,0.6857064017660044,3.1817383669885864
Cape,E023S33D,1379,4,531.75,0.818724619837234,1129.0212507555457,847.25,0.614394488759971,2.5933239304184297
Cape,E023S33C,1392,4,521.5,0.828060997548066,1152.660908586908,870.5,0.6253591954022989,2.6692233940556087
Cape,E020S34A,1906,4,675.75,0.860960782382811,1640.9912512216379,1230.25,0.6454616998950682,2.820569737328894
Cape,E024S33C,1050,4,385.25,0.832598134261948,874.2280409750454,664.75,0.633095238095238,2.7255029201817003
Cape,E019S34D,1336,4,463.75,0.922530663053858,1232.5009658399542,872.25,0.6528817365269461,2.8808625336927225
Cape,E018S33D,3029,4,1345.5,0.71424354072772,2163.443684864264,1683.5,0.555793991416309,2.251207729468599
Cape,E019S33C,3040,4,1370.5,0.712178383939485,2165.0222871760343,1669.5,0.5491776315789474,2.2181685516234952
Cape,E019S32C,1898,4,777.25,0.782759396920888,1485.6773353558456,1120.75,0.5904899894625922,2.441942746863943
Cape,E019S33A,2655,4,1181.5,0.715191420240532,1898.8332207386122,1473.5,0.5549905838041431,2.2471434617012274
Cape,E018S34B,2129,3,802.3333333333334,0.944107784157989,2010.0054724723586,1326.6666666666665,0.6231407546578988,2.65351059410054
Cape,E018S33C,706,2,374,0.940509915014164,663.9999999999998,332,0.4702549575070821,1.8877005347593583
Cape,E017S30D,568,4,199.5,0.850622795272644,483.15374771486177,368.5,0.6487676056338029,2.8471177944862154
Cape,E018S30C,548,4,168.5,0.923073805063565,505.8444451748336,379.5,0.6925182481751825,3.2522255192878338
Cape,E025S33C,1568,4,643.75,0.775050875754464,1215.2797731829994,924.25,0.5894451530612245,2.435728155339806
Cape,E020S34B,1555,4,559.5,0.858660203581004,1335.2166165684612,995.5,0.6401929260450161,2.779267202859696
Cape,E017S30A,609,3,267,0.891945992844899,543.1951096425435,342,0.5615763546798029,2.2808988764044944
Cape,E018S32C,600,3,253.66666666666666,0.864697723601967,518.8186341611802,346.33333333333337,0.5772222222222223,2.3653088042049935
Cape,E018S33B,1144,4,384.25,0.877065903690899,1003.3633938223884,759.75,0.6641171328671329,2.977228366948601
Cape,E018S33A,1236,4,447.25,0.873665622543437,1079.8507094636882,788.75,0.6381472491909385,2.7635550586920066
Cape,E018S32B,1634,4,605.5,0.833704208863897,1362.2726772836077,1028.5,0.629436964504284,2.698596201486375
Cape,E019S34A,2898,4,1452,0.646709295498177,1874.163538353717,1446,0.4989648033126294,1.9958677685950412
Cape,E022S33B,596,4,167.25,0.977922381550411,582.8417394040449,428.75,0.7193791946308725,3.563527653213752
Cape,E020S33C,1467,4,466.75,0.903097732602443,1324.844373727784,1000.25,0.6818336741649625,3.143010176754151
Cape,E019S34B,2122,4,841,0.795657794301564,1688.385839507919,1281,0.6036757775683318,2.5231866825208087
Cape,E020S32A,740,4,279.5,0.834937379499541,617.8536608296604,460.5,0.6222972972972973,2.6475849731663685
Cape,E020S33A,653,4,215,0.886457043936862,578.8564496907709,438,0.6707503828483921,3.0372093023255813
Cape,E019S33B,1407,4,498,0.864236787303941,1215.981159736645,909,0.6460554371002132,2.825301204819277
Cape,E018S30A,843,4,277.25,0.901525876474059,759.9863138676318,565.75,0.6711150652431791,3.040577096483318
Cape,E020S31C,324,3,119.66666666666667,0.947765536836428,307.07603393500267,204.33333333333331,0.6306584362139918,2.7075208913649025
Cape,E019S31B,786,4,256.5,0.915020844040658,719.2063834159571,529.5,0.6736641221374046,3.064327485380117
Cape,E024S34B,371,2,193.5,0.956873315363881,354.99999999999983,177.5,0.4784366576819407,1.917312661498708
Cape,E017S29B,868,4,338,0.814436608038744,706.9309757776298,530,0.6105990783410138,2.5680473372781063
Cape,E017S30B,1003,4,381.5,0.830123675498324,832.614046524819,621.5,0.6196410767696909,2.6290956749672345
Cape,E017S28C,672,4,226.5,0.907165485111677,609.615205995047,445.5,0.6629464285714286,2.966887417218543
Cape,E017S29C,608,4,210,0.874727146485645,531.8341050632721,398,0.6546052631578947,2.895238095238095
Cape,E017S29D,1179,4,498.25,0.754619377464766,889.6962460309592,680.75,0.5773960983884648,2.3662819869543403
Cape,E020S33D,1893,4,685.5,0.848727900750127,1606.6419161199906,1207.5,0.6378763866877971,2.761487964989059
Cape,E019S30C,322,4,98.5,0.924277467440994,297.61734451600006,223.5,0.6940993788819876,3.269035532994924
Cape,E017S29A,483,4,167,0.871479198933698,420.9244530849761,316,0.6542443064182195,2.8922155688622753
Cape,E020S33B,1215,4,453.5,0.838202486350313,1018.4160209156303,761.5,0.6267489711934157,2.679162072767365
Cape,E021S33B,408,4,104.25,0.996216509473501,406.4563358651884,303.75,0.7444852941176471,3.9136690647482015
Cape,E021S33C,1681,4,600,0.857752710102162,1441.8823056817344,1081,0.6430696014277216,2.8016666666666667
Cape,E018S29B,31,3,10.666666666666666,0.972222222222222,30.138888888888882,20.333333333333336,0.6559139784946237,2.90625
Cape,E016S28B,66,2,33.5,0.984848484848485,65.00000000000001,32.5,0.49242424242424243,1.9701492537313432
Cape,E018S29C,159,3,58,0.951486535208143,151.28635909809472,101,0.6352201257861635,2.7413793103448274
