"","HDS_richness","mean_QDS_turnover","Elevation","MAP","PDQ","Surface.T","NDVI","CEC","Clay","Soil.C","pH","rough_Elevation","rough_MAP","rough_PDQ","rough_Surface.T","rough_NDVI","rough_CEC","rough_Clay","rough_Soil.C","rough_pH"
"30",130,0.909166166998704,20.3424676930946,225.8286137522,20.9239317326885,303.057075540473,21591968.4510277,17.232309613909,6.68067033721568,62.8683728587871,22.608635616527,18.0874702834951,18.0493484066082,7.29095046399127,1.91188058893167,5451865.44688162,4.66861913459822,4.48643799224019,11.1001406052515,16.0782211670975
"31",130,0.909166166998704,32.3881911503153,217.904326905145,12.2031415217453,305.808895969499,22482441.3126362,9.49899935722351,12.210505926609,46.8858053207397,48.0784120082855,39.0122660084772,21.6912948946915,2.48592855701285,2.21945812410722,4332141.09943999,2.96548023260937,5.15055861211383,11.5977126312174,19.3063006784769
"58",304,0.936480939279533,37.4698641287323,245.910641981697,12.5798130261725,303.280209125939,27939989.1302306,14.2014628841031,11.8512850284674,65.9117248904321,35.4669255797114,30.8428338301294,22.4583860152477,2.41480525113686,1.74588297498403,3903102.40672689,3.78237321435988,5.45582337362721,13.3538070864138,18.430522492324
"59",304,0.936480939279533,85.4391640126297,249.188385138351,11.4515299615511,306.589028236763,31128327.5195222,8.02146468537577,18.0602994447344,35.1733112120896,63.3110173686167,51.3482486912984,22.0614068793206,3.51280779380391,2.10762494815987,3810388.57083167,3.21968724750765,5.50696315762654,13.7164796068812,18.2969899509303
"60",84,0.908681765389083,157.271151894749,259.146141221788,14.7837110312449,306.740885893246,29149239.9237472,8.58490664958954,19.1645016670227,35.6182233810425,62.5239358901978,57.5332772850911,19.9259154439072,1.9899172485026,1.04215551158647,2679101.32798663,1.1948833828457,2.33882149485747,6.40144415328074,4.51560943130885
"86",158,0.949367088607595,70.8812601012872,214.333787161206,16.1727847723568,301.086358543417,28759467.1387073,12.4175067901611,3.59158701850818,60.2869239807129,10.4532687698419,32.4539944458193,44.2845174863917,2.8635744934417,2.21913570480312,3163792.01027333,3.47006397732751,9.30043638174464,13.2570169959436,27.6740020178645
"87",403,0.851078501709293,132.038402715698,288.067180211944,14.9414408740705,304.428800608206,33936637.3375193,10.8402190418034,19.6570233336339,38.8791335179256,55.2860129303299,49.5023614583695,30.0654045315426,1.50431596568229,1.46709053264062,3620360.33543668,2.38239097753132,3.99747046054494,11.2982483799118,13.6412359326407
"88",410,0.915088906270433,197.11905398074,284.066918262729,16.6583491230106,305.163687704248,29172060.4121278,6.91058292984962,21.5079291264216,24.8517910341422,64.2380235592524,52.1885843072625,23.0245885993228,2.1116670120835,0.777314663968141,2140673.11954296,1.83088151782279,1.66289857594048,9.83241147189982,4.21363101992632
"115",1062,0.656652416257108,124.024789832075,320.950595891034,15.3534078704691,303.074021822803,34081662.5004065,13.2957059491065,17.6554250466824,55.7532415697652,44.8649020202955,51.8620735430744,33.5404080359978,1.43833300696306,1.55340085152746,2639951.71148061,2.76045403456804,4.84706532951668,12.490832894882,16.7275093701087
"116",1062,0.656652416257108,227.405361150493,308.016973491245,17.6064808526608,305.112512527233,28652882.3801743,8.17881258010864,21.8238627624512,34.8017112922668,65.1280199432373,51.1407121952515,26.6838716546628,2.06235539254665,0.787677920774576,2811999.07168712,2.00332763351686,2.29168428665356,11.6967373436293,8.21963989086718
