region,hdgc,dgc,lat,lon,n_collections,HDS_richness,mean_QDS_richness
SWAFR,E115S31B,E115S31,-31.25,115.75,7262,1279,606.5
SWAFR,E115S32B,E115S32,-32.25,115.75,18093,1941,879.5
SWAFR,E115S32D,E115S32,-32.75,115.75,7537,1411,693.25
SWAFR,E115S33B,E115S33,-33.25,115.75,6979,1451,668
SWAFR,E115S33C,E115S33,-33.75,115.25,14003,1697,911.25
SWAFR,E115S33D,E115S33,-33.75,115.75,8011,1368,670
SWAFR,E115S34A,E115S34,-34.25,115.25,10806,1328,729.25
SWAFR,E115S34B,E115S34,-34.25,115.75,4690,926,430.25
SWAFR,E116S28A,E116S28,-28.25,116.25,762,270,86.75
SWAFR,E116S28B,E116S28,-28.25,116.75,915,341,128.5
SWAFR,E116S28C,E116S28,-28.75,116.25,802,367,132.75
SWAFR,E116S28D,E116S28,-28.75,116.75,465,242,74.5
SWAFR,E116S29A,E116S29,-29.25,116.25,2070,626,259.5
SWAFR,E116S29B,E116S29,-29.25,116.75,1596,507,192.5
SWAFR,E116S29C,E116S29,-29.75,116.25,3082,829,308
SWAFR,E116S29D,E116S29,-29.75,116.75,2536,704,287.75
SWAFR,E116S30A,E116S30,-30.25,116.25,3484,883,354.75
SWAFR,E116S30B,E116S30,-30.25,116.75,3760,839,375.25
SWAFR,E116S30C,E116S30,-30.75,116.25,3651,976,386
SWAFR,E116S30D,E116S30,-30.75,116.75,8412,1189,502.5
SWAFR,E116S31A,E116S31,-31.25,116.25,6482,1254,575.75
SWAFR,E116S31B,E116S31,-31.25,116.75,3920,1036,426.25
SWAFR,E116S31C,E116S31,-31.75,116.25,18493,1820,876
SWAFR,E116S31D,E116S31,-31.75,116.75,6577,1365,609
SWAFR,E116S32A,E116S32,-32.25,116.25,14860,1678,839.5
SWAFR,E116S32B,E116S32,-32.25,116.75,5486,1189,505
SWAFR,E116S32C,E116S32,-32.75,116.25,3784,945,410.25
SWAFR,E116S32D,E116S32,-32.75,116.75,2626,796,308
