model_type,variable,slope,P_slope,region_coeff,P_region,int_coeff,P_int
Main effect only,Elevation,289.446,**,      NA, ,"NA", 
 ,MAP,535.367,***,      NA, ,"NA", 
 ,PDQ,441.905,***,      NA, ,"NA", 
 ,NDVI,400.569,**,      NA, ,"NA", 
 ,Clay,405.764,***,      NA, ,"NA", 
 ,PC1,247.542,***,      NA, ,"NA", 
Region only,Surface T,197.717,.,-483.978,*,"NA", 
 ,CEC,-29.769, ,-563.968,*,"NA", 
 ,Soil C,181.253, ,-474.238,*,"NA", 
 ,pH, 95.078, ,-511.609,*,"NA", 
