Elevation,MAP,PDQ,Surface_T,NDVI,CEC,Clay,Soil_C,pH,region,PC1,lon,lat,DS,n_HDS_in_region,n_collections,DS_richness,mean_HDS_richness,HDS_turnover,HDS_turnover_prop,PC1_residual,multivariate_residual
1.3540722562861747,-0.5744522565328511,-1.4858830742326374,0.43427396002864865,0.07940157160411067,0.7196929078088681,1.169309443388788,0.6843333799697723,0.6866852442800403,GCFR,0.9563248835380298,16.95,-28.65,E016S28,0,2735,717,465,252,0.3514644351464435,-0.3619753832119865,-0.06181028850259936
1.1732802152011905,-0.33701496132187836,-0.8777779314575241,0.179177508330677,0.2736395662968279,0.8282110404722743,1.1395992965001343,0.8751093308446395,1.4684592640085354,GCFR,1.4851316368434517,17.95,-29.65,E017S29,0,9655,1558,734.25,823.75,0.5287227214377407,-0.06305867290527578,0.2478112319131826
0.38372658487824596,-0.17026423545977015,-0.13878572767399974,-3.399847728362898,-0.9639028301492355,0.08810292094213024,1.5069058172428094,-0.7918926906981703,0.303146537813181,GCFR,-1.4088470323420441,18.95,-29.65,E018S29,0,1751,670,289.6666666666667,380.3333333333333,0.5676616915422885,-0.2208701753556407,-0.11295106487031659
1.7026955501886243,-0.6050636255362956,-0.17774456582241324,0.7997338988784619,-0.7225583524403077,0.9810251819560922,0.567642337365185,0.5831035038079171,-0.8499793729001232,GCFR,0.6054136792132994,17.95,-30.65,E017S30,0,6304,1320,694.3333333333334,625.6666666666666,0.47398989898989896,-0.07161684375565117,0.03729617592040713
1.3344611800400572,-0.3757514035870728,0.13621053981286074,0.02859021776206445,0.6564801590317747,0.7463184292604902,0.8611177719101785,0.591077636877315,0.3020929116946298,GCFR,1.3333939695870685,18.95,-30.65,E018S30,0,3670,1216,421.75,794.25,0.6531661184210527,-0.1597509396881332,-0.1024115094521023
0.4367137637236285,-0.8530230581294098,-1.2099170552764362,-0.527250014071002,-0.3523758830502471,-2.9100936226413543,-0.15859818037236376,0.5843255135229951,-0.9015535449617927,GCFR,-1.4594473553656568,19.95,-30.65,E019S30,0,695,364,136.33333333333334,227.66666666666666,0.6254578754578755,-0.48219486899711334,-0.1116346902352645
1.3892803535584093,0.3377111814904072,-0.34454592480453944,0.9856018761232365,0.6225523611121534,1.9002338672651984,1.2906708562068387,0.5893860716096992,0.563875882176672,GCFR,2.2070613663549334,18.95,-31.65,E018S31,0,9222,2005,808.75,1196.25,0.5966334164588528,-0.005569190644024925,-0.1017007468989636
1.4839760420355979,-0.15507425057395186,0.7712038029729821,0.6560356484147984,0.17284506930146296,0.03353327080655867,0.6900542255859345,0.5730402262051479,-0.2510393905018316,GCFR,1.3522896548606862,19.95,-31.65,E019S31,0,10676,2151,915.25,1235.75,0.5745002324500232,0.08659335175334579,0.07036954029793305
1.8278787496642648,0.9026566905872702,1.1277278804690536,1.2736785736569947,0.500113819969679,1.7831183182092964,0.02603944593059037,0.7660274363615321,-0.05560226300629347,GCFR,2.5443465078822376,18.95,-32.65,E018S32,0,13290,2382,996.5,1385.5,0.5816540722082284,0.04493698381366979,0.1404277160011751
1.3100433585027218,0.15622169263604857,1.0428552822440733,1.3415277578112963,0.8031390290678603,-0.2740273495615859,0.27298505379300314,0.03479961668678599,0.412877129054601,GCFR,1.8519920574802788,19.95,-32.65,E019S32,0,21331,3005,1278.25,1726.75,0.5746256239600666,0.1957645083262922,0.127941678868713
1.4720177205308123,-0.5422799299159957,0.9185083548715364,-5.792041217195737e-4,0.09351225944198464,0.0317499573436743,-0.3074733260240138,-1.4663426897110532,-0.37449870702327276,GCFR,-0.11230786146706306,20.95,-32.65,E020S32,0,3811,949,378,571,0.6016859852476291,-0.16317056835957502,-0.06847383316396632
1.9368817393404332,0.43450175877353786,-0.22971722168013425,1.8866631812804682,0.7098321267735822,1.8893512391232914,0.37669749667570357,1.030137683851234,1.0955659300893468,GCFR,2.932334823436315,21.95,-32.65,E021S32,0,1884,711,218.33333333333334,492.66666666666663,0.6929207688701359,-0.508112520202472,-0.15764096987597565
1.4883496147062245,1.0930902340375954,1.4398437042795085,1.470729611144872,-0.0995511180577675,1.6174272661595002,1.1153662847631025,1.3486353990147202,0.3811935634639007,GCFR,3.0806187140530756,18.95,-33.65,E018S33,0,44268,3949,1944.5,2004.5,0.507596859964548,0.2258124486604224,0.018278511571175812
1.6435548109380005,1.0091362563179906,1.4032884447021652,0.032836405210399995,1.4138971433683074,-0.1059386651894318,1.2198793321766714,0.8261260063616608,0.8680003992544151,GCFR,2.851274028585921,19.95,-33.65,E019S33,0,42043,4318,2111.5,2206.5,0.5110004631773969,0.28114570864333915,0.37645327481892354
1.3151359579575685,1.3077849969244895,2.08107101440241,-0.6203931626048365,1.3338970972122879,-0.22504161235847098,1.0985656488170408,0.4832754837806972,0.5812109104562595,GCFR,2.483944820869658,20.95,-33.65,E020S33,0,15576,2958,1245.5,1712.5,0.5789384719405003,0.14334888572109986,0.0698899200490344
1.2612619027147034,1.1589061907799185,2.0072106275225776,0.43000996770814504,1.288229800462833,-0.2079684286073617,0.7896250011720328,0.6128034981578688,0.841383921949484,GCFR,2.832164630960574,21.95,-33.65,E021S33,0,13569,2605,1119.25,1485.75,0.5703454894433782,0.06304875281780953,-0.04501738091917234
1.1897948072054711,1.9882529169145686,2.8291961106303596,1.393446481088081,2.2511767226190824,-1.0830354665254562,0.2901459003140284,1.4948389053245872,1.6595268932990346,GCFR,4.41876543934398,22.95,-33.65,E022S33,0,17362,2952,1311,1641,0.5558943089430894,0.002949597125108769,-0.02521441465675217
1.266897497701392,1.8643157769305532,2.6846050102717607,1.2243008136431819,1.9784929254730732,0.0318706546297231,-0.23950847591952734,1.628104582323411,1.5698255946398783,GCFR,4.233273118390364,23.95,-33.65,E023S33,0,10798,2146,892.5,1253.5,0.5841099720410066,-0.12216142131615162,-0.012243400258979147
1.0704889138258993,1.0890130898524655,2.0458059622826528,0.7804231506970221,1.6866909562516015,-0.2571049979010237,-0.13322474048086652,0.5784295332176282,0.8943770893476273,GCFR,2.7781713080961894,24.95,-33.65,E024S33,0,5826,1590,585.5,1004.5,0.6317610062893082,-0.14746846015213066,-0.18461803049521586
