Elevation,MAP,PDQ,Surface_T,NDVI,CEC,Clay,Soil_C,pH,region,PC1,lon,lat,HDS,n_QDS_in_region,n_collections,HDS_richness,mean_QDS_richness,QDS_turnover,QDS_turnover_prop
1.0433239365302545,-0.022841620901999416,-0.29770814684267727,1.45575602073739,0.7771114799528803,-0.10434214223491282,1.9574059708039515,0.6854998594097684,1.1595467425937733,GCFR,2.0697114734135162,17.2,-28.4,E017S28A,0,1674,639,259.6666666666667,379.3333333333333,0.5936358894105372
0.7770262430955581,-1.446180925689359,-0.14534770772217528,1.2563823574969646,0.46883379874389774,-0.17251631527423825,0.74448013547395675,-0.425978125207312,0.6947738819986052,GCFR,0.480572221431401,16.7,-28.9,E016S28D,0,1238,465,163.75,301.25,0.6478494623655914
1.1417664168838824,-0.16516676344588507,-0.34881534433485784,-0.3797908978220612,-0.6556197971766121,1.0351074651139094,-0.0018029464621557773,0.10955859313391061,0.9357892003000845,GCFR,0.36447115239933137,17.2,-28.9,E017S28C,0,1917,710,281.75,428.25,0.6031690140845071
0.5858645984091475,0.10629741332356558,0.2130198772282449,0.9162550530693867,-0.7248097940919352,1.5804111612692375,1.1692071387177605,-0.6312984905867399,1.014584685644207,GCFR,1.0760986078913346,17.2,-29.4,E017S29A,0,1039,450,158,292,0.6488888888888888
1.63819055525701,0.07650063071643433,-0.11501981352075183,-0.048117714957853726,-0.30680212000896917,1.08630066317387,1.256290424634891,0.6933008980292611,0.9425764220021532,GCFR,1.467177408364233,17.7,-29.4,E017S29B,0,2427,806,322.75,483.25,0.5995657568238213
1.1273147399150085,0.4097415675663735,0.10224927350747283,0.6574943179352803,-1.3003013018642133,0.2336628887993228,1.1420934506263107,0.4461205169216723,1.3402037197307246,GCFR,1.2487740543425192,18.2,-29.4,E018S29A,0,219,144,43.75,100.25,0.6961805555555556
1.2067811383967446,-0.650804150165775,0.32812561118495637,1.4421320914171678,-2.5415464718418277,1.0461197213926283,0.8186427236019334,1.042850805407541,1.3544706486614169,GCFR,1.1883186344274546,18.7,-29.4,E018S29B,0,721,338,196,142,0.42011834319526625
0.3138329560432609,-0.3521509121543154,0.4094961485656154,-0.5437020572313457,-1.4179530975074488,-0.4672229896392132,0.1190382902885783,-0.09220017383454215,-0.6270372922351631,GCFR,-0.8666622935566515,19.2,-29.4,E019S29A,0,1052,392,142.75,249.25,0.6358418367346939
0.5638419457520603,-0.0885383993442232,1.1788391180137714,1.4493318347285562,-2.1105708830204155,0.2507245892944052,1.0425985738660641,-0.22087737233600072,2.112016429491031,GCFR,1.2635221751893064,17.2,-29.9,E017S29C,0,1264,577,202,375,0.6499133448873483
1.672248731895358,-0.9092143779149477,-0.7096253956390595,0.7077043586419345,-0.41624454560313795,0.4839033598153394,0.9532983105140915,0.6931522037836715,-0.07941459299222738,GCFR,0.6445460070185913,17.7,-29.9,E017S29D,0,4925,1104,478.25,625.75,0.566802536231884
0.3944832786075607,-0.3097418252766629,-0.32129715974098233,0.47004875981568833,-0.23381160775869156,0.3657769245368742,1.1896937626837591,1.1267797594798656,0.8136988258142922,GCFR,1.0081513889185494,18.2,-29.9,E018S29C,0,680,387,116.75,270.25,0.6983204134366925
-0.09149635998549675,0.18742734669553415,0.9011012463307645,-1.208493300260613,-0.5399642279936204,-0.46001250397733945,0.2922276948272089,-0.15822447842115314,1.6021215432534361,GCFR,0.09799369112203798,17.2,-30.4,E017S30A,0,1624,594,281.6666666666667,312.3333333333333,0.5258136924803591
1.6609078805046924,0.10234761967189861,0.26489915144001713,0.8166318355822767,-0.17715231950688556,-1.5998191154367287,1.3245932722622407,1.4143534608742472,0.010803445279388842,GCFR,1.4461314010382365,17.7,-30.4,E017S30B,0,3324,939,364,575,0.6123535676251332
1.6377699265754495,-0.1880587553786877,0.2719557959694945,0.33110423385630866,0.6946244771996449,-0.12192029396208594,0.9803733203845434,1.109821954895055,0.09024166717002563,GCFR,1.594795640937351,18.2,-30.4,E018S30A,0,2149,780,260.5,519.5,0.666025641025641
0.5709296799583072,-0.192433517294489,-0.9777768153481716,0.9761884163427963,0.45281146028552094,0.7217928833305672,-0.09611949947082152,0.8026900931257641,1.0062426537634097,GCFR,1.0335507155882129,18.7,-30.4,E018S30B,0,255,171,47.5,123.5,0.7222222222222222
0.5616829225168697,-1.311204428827991,-0.967999151216114,-0.75174093084540206,-1.0763633337008334,1.3182055685471887,0.8418653140876163,-1.7792188662669108,0.0059806241890937905,GCFR,-1.5534433331462085,19.2,-30.4,E019S30A,0,35,27,9,18,0.6666666666666666
0.019207480871118742,-1.847733110738131,0.7202641248061519,1.011289126147195,-0.9873225341825307,-0.2694208901266333,0.5274170048612911,-0.6135014984722252,-0.31458301219146523,GCFR,-0.633274258805163,17.7,-30.9,E017S30D,0,1186,550,194.75,355.25,0.6459090909090909
0.7751050852112751,-0.17161658626890586,-0.5715617985779711,0.10142404712620759,-0.3719439640024731,-0.2575742422952035,0.04302790912730039,-0.47362202707645823,-0.34523442936607973,GCFR,-0.4376973421857213,18.2,-30.9,E018S30C,0,913,514,160,354,0.688715953307393
1.4240426856267288,-0.24818364465957374,0.27814479311817025,0.2392163342322058,-0.04298460745093324,1.4491146397187635,0.7769243952627352,0.7339270147540393,0.5281909320500051,GCFR,1.4950201967629861,18.7,-30.9,E018S30D,0,353,222,62.5,159.5,0.7184684684684685
