Elevation,MAP,PDQ,Surface_T,NDVI,CEC,Clay,Soil_C,pH,region,PC1,lon,lat,HDS,n_QDS_in_region,n_collections,HDS_richness,mean_QDS_richness,QDS_turnover,QDS_turnover_prop,PC1_residual,multivariate_residual
1.0433240847374483,-0.022841662363695343,-0.2977081130226189,1.455759209445133,0.7771114753370421,-0.10434223317793781,1.9573988378469793,0.685499829193829,1.1595444081386346,GCFR,2.0697083284447135,17.2,-28.4,E017S28A,0,1674,639,259.6666666666667,379.3333333333333,0.5936358894105372,-456.75515993952786,-339.6367826803491
0.7770263248236176,-1.4461807763330885,-0.14534759343303094,1.256382116021998,0.4688338373389283,-0.17251631551332286,0.7444776072027165,-0.425978225825672,0.6947730604038045,GCFR,0.48057034247244135,16.7,-28.9,E016S28D,0,1238,465,163.75,301.25,0.6478494623655914,-422.5379167143552,140.95359867249158
1.1417665914956594,-0.1651667083952785,-0.3488153386957527,-0.3797950429799673,-0.6556194861303014,1.035107510245058,-0.0018024299768572773,0.10955858372544473,0.9357867853390751,GCFR,0.36446882783222534,17.2,-28.9,E017S28C,0,1917,710,281.75,428.25,0.6031690140845071,-162.325683713797,124.63458045863706
0.5858646734955403,0.10629744479582773,0.2130197433779003,0.9162561960652239,-0.7248098489303247,1.5804111216638974,1.1692030001780631,-0.6312985431433324,1.0145827793125584,GCFR,1.0760960907022568,17.2,-29.4,E017S29A,0,1039,450,158,292,0.6488888888888888,-515.5668422454243,-278.75094547173484
1.6381907465550103,0.07650050550541346,-0.11501983040060765,-0.04811784186352163,-0.30680218813461235,1.0863007799979494,1.2562860630843067,0.6933009445909579,0.9425748059949954,GCFR,1.4671745203664837,17.7,-29.4,E017S29B,0,2427,806,322.75,483.25,0.5995657568238213,-210.80800143255033,-26.306757688593358
1.1273149819128192,0.4097416139377917,0.10224931257424502,0.6574924616467935,-1.3003013663459306,0.23366285378049428,1.1420894861062747,0.44612054393040346,1.340201267548549,GCFR,1.2487703204317722,18.2,-29.4,E018S29A,0,219,144,43.75,100.25,0.6961805555555556,-844.1915308550242,-519.4639572940205
1.2067813458228092,-0.6508040795083275,0.32812558225288613,1.442131328906979,-2.5415453832173993,1.0461195163810622,0.8186400295052165,1.0428507490159684,1.3544670792844402,GCFR,1.188315819501552,18.7,-29.4,E018S29B,0,721,338,196,142,0.42011834319526625,-642.2704631847788,187.90154026413236
0.3138331050365313,-0.35215073092486826,0.40949608651419994,-0.5436921254645964,-1.417952884242933,-0.46722304287906474,0.11903845143782857,-0.09220009202786127,-0.6270339883008276,GCFR,-0.8666574511187753,19.2,-29.4,E019S29A,0,1052,392,142.75,249.25,0.6358418367346939,-319.01702321481355,-97.3791083313076
0.5638419964032679,-0.08853833402657876,1.178839181920464,1.449333733052797,-2.110570751490949,0.2507247985782945,1.0425948909412792,-0.22087727694895137,2.1120118918057145,GCFR,1.2635193635576325,17.2,-29.9,E017S29C,0,1264,577,202,375,0.6499133448873483,-413.12402830142884,415.2963532183303
1.6722488811738363,-0.9092140917734346,-0.7096254389209605,0.7077049539328446,-0.41624464487472107,0.48390336534822365,0.9532950252428884,0.6931522136642682,-0.07941457666574271,GCFR,0.6445445197102031,17.7,-29.9,E017S29D,0,4925,1104,478.25,625.75,0.566802536231884,194.97732145504915,510.6361006971584
0.3944832841940858,-0.3097417125109952,-0.32129738927806245,0.4700473509876909,-0.23381149366692658,0.36577696146133143,1.1896895062093922,1.126779652284595,0.81369713762436,GCFR,1.0081478898059215,18.2,-29.9,E018S29C,0,680,387,116.75,270.25,0.6983204134366925,-569.6639104688053,-408.01980727389974
-0.09149636044110993,0.18742745102713704,0.9011011757513985,-1.2084896319792806,-0.5399640230471026,-0.4600133673218686,0.2922268630785218,-0.15822466395753204,1.6021178661716957,GCFR,0.09799291747878075,17.2,-30.4,E017S30A,0,1624,594,281.6666666666667,312.3333333333333,0.5258136924803591,-243.41060401052945,71.34492411914205
1.6609080336787787,0.10234763073285846,0.264899238484206,0.8166316950333868,-0.17715231864582692,-1.599818804562572,1.3245885951970735,1.4143534362715269,0.010803488952625555,GCFR,1.4461292737757476,17.7,-30.4,E017S30B,0,3324,939,364,575,0.6123535676251332,-75.05054218936448,100.98190404389771
1.637770111638702,-0.18805881516599118,0.2719559041162893,0.3311023720653802,0.6946244583227017,-0.12192018304586762,0.9803699118471303,1.1098219169556347,0.09024135492793343,GCFR,1.5947934262534778,18.2,-30.4,E018S30A,0,2149,780,260.5,519.5,0.666025641025641,-253.5293038001007,-133.04624963079291
0.5709297053849091,-0.19243359938738558,-0.9777767690991265,0.9761894474018368,0.45281141780110623,0.721792701908586,-0.09611871623615692,0.8026900357186533,1.0062410093947038,GCFR,1.0335506869344653,18.7,-30.4,E018S30B,0,255,171,47.5,123.5,0.7222222222222222,-788.9923189739216,-675.1003424241292
0.561683027075888,-1.3112048780087153,-0.9679991597966326,-0.7517504871179568,-1.0763632522962183,1.3182055201413547,0.8418627395434248,-1.7792186880872434,0.005980559224149133,GCFR,-1.5534493731592358,19.2,-30.4,E019S30A,0,35,27,9,18,0.6666666666666666,-594.0299220701078,-263.0887457751508
0.019207411593244166,-1.8477332347693132,0.7202641531769423,1.0112931009311859,-0.9873228942192802,-0.26942112009802893,0.527415487189019,-0.6135014881914097,-0.3145830981408546,GCFR,-0.6332741030916975,17.7,-30.9,E017S30D,0,1186,550,194.75,355.25,0.6459090909090909,-191.59614080549113,528.2057977721837
