model_type,variable,slope,P_slope,region_coeff,P_region,int_coeff,P_int
Main effect + region,PDQ, 0.157,***,0.151,**,"NA", 
 ,PC1, 0.095,***,0.147,**,"NA", 
Main effect only,Elevation, 0.059,*,   NA, ,"NA", 
 ,MAP, 0.160,***,   NA, ,"NA", 
 ,Surface T, 0.069,**,   NA, ,"NA", 
 ,NDVI, 0.151,***,   NA, ,"NA", 
 ,CEC,-0.030, ,   NA, ,"NA", 
 ,Clay, 0.081,**,   NA, ,"NA", 
 ,Soil C, 0.074,**,   NA, ,"NA", 
 ,pH, 0.033, ,   NA, ,"NA", 
