scale,Elevation,MAP,PDQ,Surface_T,NDVI,CEC,Clay,Soil_C,pH,region,PC1,lon,lat,QDS,n_EDS_in_region,n_collections,QDS_richness,PC1_residual,multivariate_residual,HDS,n_QDS_in_region,HDS_richness,mean_QDS_richness,QDS_turnover,QDS_turnover_prop,DS,n_HDS_in_region,DS_richness,mean_HDS_richness,HDS_turnover,HDS_turnover_prop
QDS,0.241251613849882,1.1675035094027553,-0.9980358496753444,-0.06847502703068434,-2.587811425183474,-2.987492916627721,0.38285413820081643,1.1250036187115284,-1.2237332404257617,GCFR,-1.4561324690771396,16.825,-28.275,E016S28BD,0,1332,456,285.9703541132814,164.8212325344689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QDS,1.220489080927718,0.5622840920333722,0.16184416043952873,1.5717774875930624,0.8283557331180037,0.8268949411660984,1.5610944716888429,0.4610832231406698,0.8184899114831764,GCFR,2.608307845765056,17.075,-28.275,E017S28AC,0,1265,545,52.39842787661839,100.44714130323631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QDS,0.6821382759182315,0.3623512016808429,0.6400678632703293,1.6918531334102977,-1.5639523466953482,-1.6045030388138315,2.6064174348226263,-0.3409061157129094,1.9995013346139325,GCFR,1.3945517213309429,16.575,-28.525,E016S28DA,0,493,204,-192.27252784869188,82.48400999706115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QDS,1.5177861415008238,0.6981234389017366,-1.099837592943569,0.2645292293398161,0.9291050838928094,0.563208936955827,1.2068219560984876,0.7263669379163835,1.2594886956503615,GCFR,1.9150268557105266,16.825,-28.525,E016S28DB,0,315,193,-244.5797321990697,-253.34618750746642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QDS,1.8061092113399215,0.2979198144770452,-0.36360846917458867,0.7796437434196013,0.7850219173962035,1.0619800095405716,2.072759788461174,0.05129264407634404,-0.20357764978574083,GCFR,1.9081494170870243,17.075,-28.525,E017S28CA,0,631,357,-80.0339083088148,-118.94549434348544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QDS,1.1495683535866228,0.5276272205757484,0.2182045905703895,1.4855205970193288,-1.3988764629325114,1.2723953772779562,-0.228517284270323,-1.0309177922984352,1.1156500330961676,GCFR,1.0807568916239354,17.325,-28.525,E017S28CB,0,481,275,-96.36838488660524,-9.49717971979707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QDS,0.7904727899409558,-0.0603703754890817,0.6162558280797724,0.14406223477572966,0.10713364917099463,-1.1787652382608853,1.6603360865480976,-0.06222027118816313,1.6265276832761606,GCFR,1.0888751995786783,16.575,-28.775,E016S28DC,0,115,75,-297.0126896449212,-127.96851123052511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QDS,0.9308088425755543,-0.6012467925028516,-0.5517854473600516,0.5387884016426924,-0.39085642478958804,0.6106566163400416,-0.4882390818594219,0.2276186805651925,1.3310599674349477,GCFR,0.5944805248375995,16.825,-28.775,E016S28DD,0,315,183,-149.7753457060747,33.94917993648882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QDS,1.3905753758399324,0.14049546819664332,-0.13511579686283173,1.4607007729934305,0.7424658070598215,0.6495027066598393,1.96695510413071,1.1711138982472444,2.0990196005561406,GCFR,3.0581887434183956,17.075,-28.775,E017S28CC,0,287,203,-325.30610620232085,-105.75768622887098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QDS,1.5010239413360071,0.15909817829809744,0.02503404339817161,1.0791010592163897,0.562774719171792,2.054285128924969,1.6510290158185241,0.9565290387091465,1.5044458338075883,GCFR,2.9936753546391186,17.325,-28.775,E017S28CD,0,518,292,-231.1860388684267,-76.18720083739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QDS,1.0839237755121829,-0.3251805810043383,0.11961697778672555,-2.348843278124731,-0.5053348298631807,0.9942830500229682,0.9144305715415851,0.022796077182318953,1.1660334261685248,GCFR,0.02658318339800536,17.575,-28.775,E017S28DC,0,227,146,-141.70450565365778,-60.27652373232432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QDS,0.7594735126974737,-0.31665757164662106,0.8103406425837714,1.1240112774353204,-0.053469646070776394,0.973009070593143,1.0831356455739956,0.7118152466076924,0.041904846291067985,GCFR,1.665291900507899,16.825,-29.025,E016S29BB,0,216,126,-291.75966367594185,-163.19114546203892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QDS,1.2868899194051848,0.035982992123380166,-0.5462218296327322,0.6935900257533789,-0.6499209853787347,1.1964110134863022,1.7058928225907972,1.5008073026264126,1.5886464702326417,GCFR,2.1235715348326902,17.075,-29.025,E017S29AA,0,458,277,-177.130758574138,40.4812279034884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QDS,1.3524913712325222,-0.09296553118683247,-0.26072079802374903,1.3998813749944257,-0.24472822899535165,1.9398765279176584,1.136535320160529,0.7470188429886236,1.5877339546014329,GCFR,2.425569154737661,17.325,-29.025,E017S29AB,0,111,75,-403.0986228864511,-190.09217518285195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QDS,0.9981145348390569,0.3708758318425025,0.0398514915828392,0.34538672504938944,0.6722270767661815,-0.039010626179873456,1.721129871523767,0.7610408085105542,0.8470720098872346,GCFR,1.7788671083727945,17.575,-29.025,E017S29BA,0,856,413,-13.77349356044602,36.05417431375182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QDS,0.8439496844635388,-0.12303132282498187,-0.6533730286929396,0.7964576990347659,-1.5102296642576036,0.8336266597965462,0.8608456643879708,-0.11580215098077411,1.8016196784306016,GCFR,0.8124336744990194,17.825,-29.025,E017S29BB,0,492,232,-118.07306983770852,108.53573580404665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QDS,0.665905266023537,-0.32323440362846195,-0.9864107567916679,1.787498119224345,-0.7229430359377442,0.24728987647645514,-0.4405567586518382,0.4916428438734238,1.0528019890443039,GCFR,0.7768061955144192,18.075,-29.025,E018S29AA,0,56,45,-302.24551582466245,-120.49966684879847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QDS,1.1547217195740884,-0.09343673214926204,0.015945085085509392,1.1480046669671395,-1.4675941611015286,0.06953580232922625,-0.7428792469787221,-0.2546003975127762,-5.212726664469069,GCFR,-1.5258971630545246,18.325,-29.025,E018S29AB,0,28,24,-140.49281178992527,-465.4142080773929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QDS,0.5717131820696376,-2.749045328749839,-0.10261763059062566,0.6197012306242635,-0.2294991583804133,-3.7284929818963923,0.32006996355155637,-1.2065621080336548,-0.5549396113351411,GCFR,-2.1940928275626788,18.575,-29.025,E018S29BA,0,240,148,36.538145957512754,321.4687792039605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QDS,-2.7406169560382985,-1.2861724682628,-1.0779935361851625,1.2725266149404153,-1.0838907761172003,-1.061413322092872,-0.4481579058916563,0.2639134822559839,0.9079335376552128,GCFR,-1.6077186785096977,18.825,-29.025,E018S29BB,0,366,244,86.0009048853072,361.19603596976543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QDS,1.3787115808185566,-2.0688358800082147,-0.8837366437963873,1.2469529841084253,-3.0156289054485512,-0.03064829402798376,0.30276111335058065,-0.703202568189165,-0.9479165826329161,GCFR,-1.515097940754842,19.075,-29.025,E019S29AA,0,291,190,24.65011425419806,318.5348606511547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
