Elevation,MAP,PDQ,Surface_T,NDVI,CEC,Clay,Soil_C,pH,region,PC1,lon,lat,QDS,n_EDS_in_region,n_collections,QDS_richness
0.24125145529761316,1.1675015523889818,-0.9980358851503721,-0.06845337008239949,-2.5878135115543057,-2.9874971029490505,0.38285564129511535,1.1250029612572054,-1.2237389232707356,GCFR,-1.456128537223098,16.825,-28.275,E016S28BD,0,1332,456
1.2204890138501174,0.5622833549020126,0.16184406142462932,1.5717771195545374,0.8283559545909545,0.8268951966716136,1.5611025149827371,0.4610828637116669,0.8184903613704096,GCFR,2.6083109885288707,17.075,-28.275,E017S28AC,0,1265,545
0.6821383021248533,0.36235098865884013,0.6400677549383059,1.6918503619481768,-1.5639531921763963,-1.604503455940506,2.6064311258849893,-0.34090574924132705,1.9995032894263032,GCFR,1.3945562166055456,16.575,-28.525,E016S28DA,0,493,204
1.5177860060352821,0.6981223809601034,-1.099837329174257,0.264532654346332,0.9291051817434378,0.5632088867305779,1.2068279216619229,0.7263664700309143,1.2594898208918632,GCFR,1.9150316779598762,16.825,-28.525,E016S28DB,0,315,193
1.8061090207235968,0.29791955052830504,-0.3636083567337577,0.7796467579141619,0.7850220724654376,1.0619799680757842,2.072770566064626,0.051292463240521204,-0.20357826185680947,GCFR,1.9081546836885446,17.075,-28.525,E017S28CA,0,631,357
1.1495681526083583,0.5276266456072237,0.2182046880720063,1.4855192893677156,-1.3988766126985992,1.272395475067547,-0.22851861997547923,-1.030916466537926,1.115650382115201,GCFR,1.0807565262378132,17.325,-28.525,E017S28CB,0,481,275
0.790472764510376,-0.060369827036768096,0.6162557592196694,0.1440679735957831,0.10713356839548019,-1.178765010323665,1.6603445291464716,-0.062220282742794494,1.6265283007455165,GCFR,1.0888812558437642,16.575,-28.775,E016S28DC,0,115,75
0.9308088150478645,-0.6012452897310021,-0.5517849968564221,0.5387839036816787,-0.39085666284574716,0.6106565533009684,-0.48824266745129224,0.22761874948529998,1.3310606506095448,GCFR,0.5944794616422967,16.825,-28.775,E016S28DD,0,315,183
1.3905752125313804,0.14049555043089776,-0.13511560440626622,1.4607046762042055,0.742466011524802,0.6495026618109081,1.9669652586660593,1.1711132577419439,2.099021735014037,GCFR,3.058195977038513,17.075,-28.775,E017S28CC,0,287,203
1.5010237358695642,0.15909821597903273,0.02503412162056443,1.0791007532082546,0.5627748797049945,2.054285170503329,1.6510374354667283,0.9565285060029899,1.5044468957491635,GCFR,2.9936795124214415,17.325,-28.775,E017S28CD,0,518,292
1.0839235596678916,-0.3251794248812659,0.11961712613751926,-2.3489796903360336,-0.5053347522609409,0.9942834580299261,0.9144349718430267,0.022796021011883435,1.1660346774675585,GCFR,0.02652937106717651,17.575,-28.775,E017S28DC,0,227,146
0.7594734234552681,-0.31665663285072077,0.8103405859225473,1.12400990181684,-0.053469645846838484,0.9730091527540239,1.0831411113967961,0.7118148791524885,0.04190175204823999,GCFR,1.665292248081113,16.825,-29.025,E016S29BB,0,216,126
1.2868898508709194,0.035983452555636654,-0.5462215371709112,0.6935965026726412,-0.6499215982044387,1.1964109316790488,1.705901641854733,1.5008063575867185,1.5886475668884488,GCFR,2.123578659008068,17.075,-29.025,E017S29AA,0,458,277
1.352491240085809,-0.09296474865304753,-0.2607205198386125,1.399883484769622,-0.24472818500616014,1.9398766727444132,1.1365410436877277,0.7470185385557497,1.587736102314306,GCFR,2.425574389945438,17.325,-29.025,E017S29AB,0,111,75
0.9981143410627381,0.37087542006178104,0.03985163513952287,0.34538844110379596,0.6722272539666614,-0.03901058092237974,1.7211387452688862,0.7610403776029352,0.8470726540957163,GCFR,1.7788713521085882,17.575,-29.025,E017S29BA,0,856,413
0.8439497454597211,-0.12303046749852244,-0.6533727365999396,0.7964534642883541,-1.5102305741526292,0.8336267784934281,0.8608497477546905,-0.11580202695896824,1.8016212775596883,GCFR,0.8124356257743389,17.825,-29.025,E017S29BB,0,492,232
0.6659051131513254,-0.3232331132929369,-0.9864109898294959,1.787502478927055,-0.7229435864394409,0.2472899440061381,-0.4405596165874784,0.4916425897777518,1.0528033484751531,GCFR,0.7768090066010186,18.075,-29.025,E018S29AA,0,56,45
1.1547218814806182,-0.0934358267154665,0.01594557956112272,1.1480176397839814,-1.4675952302134887,0.0695361835545051,-0.7428841015331259,-0.2546001051833867,-5.212544297136614,GCFR,-1.5258379554944652,18.325,-29.025,E018S29AB,0,28,24
0.5717135729071443,-2.7490411579241982,-0.1026177351960777,0.619706918230498,-0.2294991300345463,-3.728491311184801,0.3200708227074948,-1.2065607820722482,-0.5549421099604847,GCFR,-2.194087959099357,18.575,-29.025,E018S29BA,0,240,148
-2.7406166659765345,-1.286167949377381,-1.0779954218241865,1.2725338257012395,-1.0838913774772543,-1.0614134398229198,-0.44816120077706173,0.2639134096570063,0.9079326772334807,GCFR,-1.6077140876696445,18.825,-29.025,E018S29BB,0,366,244
1.3787114407988108,-2.068826569754542,-0.8837353950134478,1.2469575742251047,-3.0156316902998905,-0.030648283838193496,0.30276231083069477,-0.7032019702401487,-0.9479227286327999,GCFR,-1.5150939260499008,19.075,-29.025,E019S29AA,0,291,190
0.5441206818386566,0.04116825911233334,0.8409084004510313,-0.8358114788473803,-1.6978046373638294,-0.4802679945245252,0.15373182769448782,-1.3604618883226547,1.6920118227593623,GCFR,-0.4936688812691893,19.325,-29.025,E019S29AB,0,641,291
