Elevation,MAP,PDQ,Surface_T,NDVI,CEC,Clay,Soil_C,pH,region,PC1,lon,lat,DS,n_HDS_in_region,n_collections,DS_richness,mean_HDS_richness,HDS_turnover,HDS_turnover_prop
1.3540722583101734,-0.5744522821196661,-1.4858830054207386,0.434271982912153,0.0794016171686259,0.7196929677100009,1.169309420066071,0.684333368867731,0.686685534267026,GCFR,0.9563237412625144,16.95,-28.65,E016S28,0,2735,717,465,252,0.3514644351464435
1.1732801883767017,-0.33701497551534493,-0.8777778322159031,0.1791800607101455,0.2736395658716986,0.8282110485933146,1.1395992738984806,0.8751093094401808,1.4684593230326848,GCFR,1.4851325807696814,17.95,-29.65,E017S29,0,9655,1558,734.25,823.75,0.5287227214377407
0.3837264194468349,-0.17026420703327003,-0.138785667270079,-3.3999371322027234,-0.9639030097093222,0.0881028800820572,1.5069057672841768,-0.7918927043980519,0.30314666395436685,GCFR,-1.4088797397640669,18.95,-29.65,E018S29,0,1751,670,289.6666666666667,380.3333333333333,0.5676616915422885
1.7026955513640096,-0.6050636557458342,-0.17774454877864906,0.7997334148236325,-0.7225583680749251,0.9810251750072544,0.567642322852944,0.5831034875965663,-0.8499802258479334,GCFR,0.6054123691817794,17.95,-30.65,E017S30,0,6304,1320,694.3333333333334,625.6666666666666,0.47398989898989896
1.334461171136267,-0.37575142303653625,0.13621054967099533,0.028592519211673842,0.6564801753451447,0.7463184787766807,0.8611177443103503,0.591077617353228,0.3020928610805476,GCFR,1.3333951201271628,18.95,-30.65,E018S30,0,3670,1216,421.75,794.25,0.6531661184210527
0.436713775965362,-0.8530232556862963,-1.2099173638958394,-0.5272426734500837,-0.3523759879484167,-2.9100933222670093,-0.1585975557708688,0.5843254671471606,-0.9015527159391317,GCFR,-1.4594440494496097,19.95,-30.65,E019S30,0,695,364,136.33333333333334,227.66666666666666,0.6254578754578755
1.3892803523544015,0.3377111604082139,-0.34454588043629547,0.9856010096747672,0.6225523919960626,1.9002338124666462,1.290670865924812,0.5893860567981692,0.5638759124152395,GCFR,2.2070605540332617,18.95,-31.65,E018S31,0,9222,2005,808.75,1196.25,0.5966334164588528
1.483976030814857,-0.15507425844265657,0.7712038110389188,0.6560338581634767,0.17284507828776785,0.03353321743361018,0.6900541980835676,0.5730401946452133,-0.2510400137882826,GCFR,1.352288541597387,19.95,-31.65,E019S31,0,10676,2151,915.25,1235.75,0.5745002324500232
1.8278787579753295,0.9026567187974079,1.1277278836814322,1.273674285482797,0.5001137764842336,1.7831182658222808,0.0260394792830363,0.7660274097979128,-0.05560266241486927,GCFR,2.5443443965847274,18.95,-32.65,E018S32,0,13290,2382,996.5,1385.5,0.5816540722082284
1.3100433595688508,0.15622172040358548,1.042855279244167,1.3415239103438539,0.8031390102038338,-0.2740273331346517,0.2729850186306414,0.03479959223476635,0.412877447874501,GCFR,1.8519901869521986,19.95,-32.65,E019S32,0,21331,3005,1278.25,1726.75,0.5746256239600666
1.4720177503324954,-0.5422798923828156,0.9185083430562716,-5.78252290129666e-4,0.09351224267450756,0.031749953702911476,-0.30747330044552085,-1.4663427968401457,-0.37449915801260947,GCFR,-0.11230768963817916,20.95,-32.65,E020S32,0,3811,949,378,571,0.6016859852476291
1.9368817791688435,0.43450173299464967,-0.22971722641102638,1.8866557752567226,0.7098321598023941,1.8893511937932932,0.37669732727247773,1.030137671748059,1.0955664932691518,GCFR,2.932331154178288,21.95,-32.65,E021S32,0,1884,711,218.33333333333334,492.66666666666663,0.6929207688701359
1.488349610697963,1.0930902285510855,1.439843739551214,1.4707247516684656,-0.09955098393975623,1.6174272308751454,1.1153662782168412,1.348635427498049,0.38119366805399263,GCFR,3.080616413676329,18.95,-33.65,E018S33,0,44268,3949,1944.5,2004.5,0.507596859964548
1.643554815116958,1.0091362430146182,1.4032884283905078,0.03283765632232852,1.4138971143861914,-0.10593870576352994,1.2198792382147927,0.8261260052485888,0.8680004942097246,GCFR,2.85127549722357,19.95,-33.65,E019S33,0,42043,4318,2111.5,2206.5,0.5110004631773969
1.3151359648972902,1.3077850074508166,2.081071003490009,-0.6203925493138541,1.3338970812105844,-0.225041581872382,1.098565620958778,0.483275480792902,0.5812110380834671,GCFR,2.4839466541701576,20.95,-33.65,E020S33,0,15576,2958,1245.5,1712.5,0.5789384719405003
1.2612619088497838,1.1589061957814872,2.007210625535063,0.4300092683540576,1.2882297927174877,-0.20796835792597965,0.7896250233134898,0.6128034674140436,0.8413840422638805,GCFR,2.832165160919033,21.95,-33.65,E021S33,0,13569,2605,1119.25,1485.75,0.5703454894433782
1.1897948138224177,1.9882529346727,2.8291960787575876,1.3934424302547816,2.2511767000721767,-1.0830354712104702,0.2901459603035468,1.4948389255525831,1.659527201913026,GCFR,4.418764775707642,22.95,-33.65,E022S33,0,17362,2952,1311,1641,0.5558943089430894
1.2668974947150018,1.8643158029541014,2.68460498192538,1.2242968463861994,1.9784928960520352,0.03187057777768339,-0.23950858596430763,1.6281045716129283,1.5698257919381513,GCFR,4.233272398915836,23.95,-33.65,E023S33,0,10798,2146,892.5,1253.5,0.5841099720410066
1.0704889255873138,1.0890130996937968,2.0458059148685996,0.7804214021864055,1.6866909307765174,-0.2571049084093507,-0.1332249245536778,0.5784295626016107,0.89437708165761165,GCFR,2.778171219874565,24.95,-33.65,E024S33,0,5826,1590,585.5,1004.5,0.6317610062893082
