resolution,region,variable,quantile,IXR
0.05 x 0.05,SWAFR,NDVI,0.95,2.5502753504978974
0.05 x 0.05,SWAFR,CEC,0.95,2.074968298958
0.05 x 0.05,SWAFR,Clay,0.95,2.853919073986757
0.05 x 0.05,SWAFR,Soil C,0.95,2.0263082199090467
0.05 x 0.05,SWAFR,pH,0.95,2.417441239744461
0.25 x 0.25,GCFR,Elevation,0.95,2.780532350246191
0.25 x 0.25,GCFR,MAP,0.95,3.232724665307895
0.25 x 0.25,GCFR,PDQ,0.95,4.598693548814684
0.25 x 0.25,GCFR,Surface T,0.95,3.11839659952656
0.25 x 0.25,GCFR,NDVI,0.95,4.544640936575986
0.25 x 0.25,GCFR,CEC,0.95,2.9434892728487148
0.25 x 0.25,GCFR,Clay,0.95,2.2484390507815073
0.25 x 0.25,GCFR,Soil C,0.95,2.445749064328813
0.25 x 0.25,GCFR,pH,0.95,2.103403010108153
0.25 x 0.25,SWAFR,Elevation,0.95,0.7899974799725042
0.25 x 0.25,SWAFR,MAP,0.95,3.0815038081409636
0.25 x 0.25,SWAFR,PDQ,0.95,0.8095681385966733
0.25 x 0.25,SWAFR,Surface T,0.95,2.2611807809855
0.25 x 0.25,SWAFR,NDVI,0.95,2.1285880015533722
0.25 x 0.25,SWAFR,CEC,0.95,2.3268975397144755
0.25 x 0.25,SWAFR,Clay,0.95,2.4474629888179775
0.25 x 0.25,SWAFR,Soil C,0.95,2.9083699028423484
0.25 x 0.25,SWAFR,pH,0.95,2.8950064496331382
0.50 x 0.50,GCFR,Elevation,0.95,1.9536585659963515
0.50 x 0.50,GCFR,MAP,0.95,2.7138089294881205
0.50 x 0.50,GCFR,PDQ,0.95,5.169195986354499
0.50 x 0.50,GCFR,Surface T,0.95,3.394016399855987
0.50 x 0.50,GCFR,NDVI,0.95,3.9753370477789214
0.50 x 0.50,GCFR,CEC,0.95,3.318401879456836
0.50 x 0.50,GCFR,Clay,0.95,1.7698991021641242
0.50 x 0.50,GCFR,Soil C,0.95,2.1407182417632105
0.50 x 0.50,GCFR,pH,0.95,2.1336122961268087
0.50 x 0.50,SWAFR,Elevation,0.95,0.7730562925936735
0.50 x 0.50,SWAFR,MAP,0.95,3.1373633278369195
0.50 x 0.50,SWAFR,PDQ,0.95,1.0907444337134038
0.50 x 0.50,SWAFR,Surface T,0.95,2.4464522947570546
0.50 x 0.50,SWAFR,NDVI,0.95,2.6821119663503494
0.50 x 0.50,SWAFR,CEC,0.95,2.183512747776518
0.50 x 0.50,SWAFR,Clay,0.95,1.8110064482493886
0.50 x 0.50,SWAFR,Soil C,0.95,2.9789315006361026
0.50 x 0.50,SWAFR,pH,0.95,1.5700729973376157
0.75 x 0.75,GCFR,Elevation,0.95,1.070404376140654
0.75 x 0.75,GCFR,MAP,0.95,2.2411449402381773
0.75 x 0.75,GCFR,PDQ,0.95,2.978984554492829
0.75 x 0.75,GCFR,Surface T,0.95,2.8649388365114077
0.75 x 0.75,GCFR,NDVI,0.95,2.3725799041947955
0.75 x 0.75,GCFR,CEC,0.95,2.330756167900363
0.75 x 0.75,GCFR,Clay,0.95,2.543433524357584
0.75 x 0.75,GCFR,Soil C,0.95,1.2220121208182426
0.75 x 0.75,GCFR,pH,0.95,2.265280439389453
0.75 x 0.75,SWAFR,Elevation,0.95,0.7909001769430172
0.75 x 0.75,SWAFR,MAP,0.95,2.9973435987169084
0.75 x 0.75,SWAFR,PDQ,0.95,1.3816944347531908
0.75 x 0.75,SWAFR,Surface T,0.95,2.652622107464529
0.75 x 0.75,SWAFR,NDVI,0.95,3.14437041220637
0.75 x 0.75,SWAFR,CEC,0.95,2.615308115905138
0.75 x 0.75,SWAFR,Clay,0.95,2.6708820803840094
0.75 x 0.75,SWAFR,Soil C,0.95,3.1977394182456758
0.75 x 0.75,SWAFR,pH,0.95,2.9356076825489144
