region,hdgc,lon,lat,n_QDS,CEC_mean_value,CEC_roughness,Clay_mean_value,Clay_roughness,Elevation_mean_value,Elevation_roughness,MAP_mean_value,MAP_roughness,NDVI_mean_value,NDVI_roughness,PDQ_mean_value,PDQ_roughness,pH_mean_value,pH_roughness,Soil.C_mean_value,Soil.C_roughness,Surface.T_mean_value,Surface.T_roughness,PC1,PC2,HDS_richness,mean_QDS_richness,mean_QDS_turnover,add_turnover,add_turnover_prop,mul_turnover
GCFR,E017S29A,17.25,-29.25,4,10.263805508613586,3.0380707581837973,8.571234107017517,1.041640361150106,284.1926956176758,102.08055623372395,129.82623481750488,30.218585968017578,17909850.75,3256612.5,10.533233880996704,2.621235688527425,73.28812789916992,3.5196431477864585,29.218297481536865,7.7395830154418945,306.8407669067383,0.5026804606119791,0.3599038261490718,-0.15526992141407936,483,167,0.871479198933698,316,0.6542443064182195,2.8922155688622753
GCFR,E017S29B,17.75,-29.25,4,9.18802273273468,1.6506078243255615,11.973732471466064,5.324093500773111,836.87896728515625,119.35129801432292,142.51369857788086,41.62565358479818,18470095.5,3896503,12.665189027786255,2.3150013287862143,70.19707870483398,6.575469970703125,39.77457141876221,10.351224899291992,304.1729202270508,1.211888631184896,1.5173038150364253,-1.2844937046743872,868,338,0.814436608038744,530,0.6105990783410138,2.5680473372781063
GCFR,E017S29D,17.75,-29.75,4,11.07158875465393,2.624351978302002,16.394319534301758,2.7185484568277998,657.8480453491211,268.4828135172526,170.46924209594727,12.721972147623697,21847739,3531579.3333333335,12.832991600036621,3.2136494318644204,66.2249584197998,1.8246625264485676,52.44692325592041,5.306620915730795,303.4528045654297,0.9347941080729166,0.5701945792149596,-0.6677091899216115,1179,498.25,0.754619377464766,680.75,0.5773960983884648,2.3662819869543403
GCFR,E017S30B,17.75,-30.25,4,8.834192276000977,3.635583241780599,16.657208919525146,5.216769854227702,478.87817764282227,304.4694239298502,201.75654220581055,14.844754536946615,25959052.5,3416239,12.144470453262329,1.9901582400004068,65.38616752624512,1.5397198994954429,50.30976963043213,10.872950871785482,304.5480422973633,2.5070343017578125,1.4405995173414172,-1.3811734774964322,1003,381.5,0.830123675498324,621.5,0.6196410767696909,2.6290956749672345
GCFR,E017S30D,17.75,-30.75,4,8.7278900146484375,2.607019106547038,16.289597511291504,2.374787966410319,177.47069549560547,127.99416605631511,192.70755004882812,19.191167195638023,23682045,1928590,20.45926284790039,12.637083371480305,65.28673934936523,5.2859954833984375,30.1656494140625,6.721000671386719,304.0859680175781,3.1039632161458335,1.5868727211009328,-0.10394053512742624,568,199.5,0.850622795272644,368.5,0.6487676056338029,2.8471177944862154
GCFR,E018S30A,18.25,-30.25,4,12.163367509841919,1.9943699836730957,19.255364894866943,2.9592294692993164,1100.1481170654297,111.20954386393228,201.64068984985352,23.264427185058594,20961582.25,5101464.833333333,18.214011430740356,3.075955231984456,66.06288719177246,1.9438006083170571,44.53334426879883,19.819173177083336,301.1730651855469,1.0909016927083333,1.1489340995026944,-0.7045227945438871,843,277.25,0.901525876474059,565.75,0.6711150652431791,3.040577096483318
GCFR,E018S30B,18.75,-30.25,4,8.855908632278442,1.4690155982971191,18.556965827941895,1.8357677459716797,967.2622222900391,52.365590413411454,161.28772354125977,16.168927510579426,14917935.75,5250545.5,21.84126329421997,1.2866315841674805,72.0830020904541,1.8726793924967449,23.88273859024048,8.740805625915527,305.8312225341797,1.4260660807291667,0.010552980073363222,-0.8224941558020693,45,12,0.979012345679012,33,0.7333333333333333,3.75
GCFR,E018S30C,18.25,-30.75,4,8.28093433380127,3.7042953173319497,17.2306010723114,2.990373134613037,486.7330131530762,285.9421361287435,184.14203262329102,25.68644460042318,23615275.5,3126976.3333333335,14.33004355430603,1.7847386995951333,67.05440521240234,1.5798314412434895,45.90254878997803,17.078481674194336,304.2689666748047,1.8002421061197915,1.4292940952164992,-0.9182036913435813,548,168.5,0.923073805063565,379.5,0.6925182481751825,3.2522255192878338
GCFR,E018S30D,18.75,-30.75,4,9.350586533546448,2.3805174032847085,18.0900821685791,2.4573516845703125,668.8869094848633,245.8837127685547,172.43611907958984,20.10981241861979,21427078.5,2645089.666666667,19.100117683410645,4.319710413614909,70.36180877685547,4.581103006998697,37.943349838256836,17.86718241373698,304.40193939208984,1.7733306884765625,1.7241370083996967,-0.8004955568384922,243,68,0.962632687150332,175,0.720164609053498,3.573529411764706
GCFR,E018S31A,18.25,-31.25,4,8.139480352401733,0.8229455947875977,18.089600563049316,1.9784959157307944,272.7925720214844,121.18735758463541,178.96881103515625,24.997823079427082,23525936,1963657.3333333333,15.438612699508667,2.62331215540568,66.76635551452637,0.7442131042480469,39.68553018569946,11.289680798848469,304.36544036865234,0.7648773193359375,-0.47027286719548506,0.2723311469776406,664,208,0.926690079236685,456,0.6867469879518072,3.1923076923076925
GCFR,E018S31B,18.75,-31.25,4,7.2288185358047485,1.672500212987264,17.35332226753235,2.1142382621765137,214.2156867980957,74.16586049397787,163.1842803955078,29.522872924804688,16910562.75,2670749.5,13.844108819961548,0.4419620831807454,71.84884452819824,1.7577171325683594,30.27281618118286,8.066642443339031,306.56395721435547,1.2984771728515625,-0.3010997806424555,-1.1329594877813929,692,231.75,0.885543547613174,460.25,0.6651011560693642,2.9859762675296655
