region,qdgc,lon,lat,n_EDS,CEC_mean_value,CEC_roughness,Clay_mean_value,Clay_roughness,Elevation_mean_value,Elevation_roughness,MAP_mean_value,MAP_roughness,NDVI_mean_value,NDVI_roughness,PDQ_mean_value,PDQ_roughness,pH_mean_value,pH_roughness,Soil.C_mean_value,Soil.C_roughness,Surface.T_mean_value,Surface.T_roughness,PC1,PC2,QDS_richness
SWAFR,E115S29BB,115.875,-29.125,4,8.432525396347046,0.4553828239440918,23.183955669403076,0.9938974380493164,321.6373519897461,22.38843282063802,317.8285217285156,14.586201985677084,29880156.5,3425885.666666667,31.187950134277344,0.736419677734375,64.64751434326172,1.4875996907552083,50.55411434173584,0.32059669494628906,304.69405364990234,0.7827707926432291,-1.275075657811333,0.13780380900022166,326
SWAFR,E115S29BC,115.625,-29.375,4,9.331995964050293,0.32394949595133465,24.152883052825928,3.335005124409993,272.37889862060547,22.557337443033855,359.09241485595703,17.390335083007812,33774081.5,1305051,28.44271945953369,0.6942660013834635,63.408023834228516,0.9511273701985677,47.275535583496094,1.2909495035807292,304.8324966430664,0.8411610921223958,-1.0644025598841336,-0.7776589453897221,569
SWAFR,E115S29BD,115.875,-29.375,4,8.601540684700012,1.5551011562347412,25.163771629333496,0.8008244832356771,267.40649032592773,19.857826232910156,322.3814392089844,16.529246012369793,27307811,4398412.666666667,29.627270221710205,0.5112250645955404,66.07751655578613,1.2890332539876301,45.02832794189453,1.1037406921386719,304.32545471191406,0.61322021484375,-0.9548095325562423,-0.1211919681961595,231
SWAFR,E115S29CA,115.125,-29.625,4,9.914393901824951,1.7647577921549478,24.301580905914307,2.471889813741048,47.08315944671631,13.612029393513998,467.64837646484375,8.010406494140625,37800945,6403127.333333334,25.07954502105713,0.7833283742268881,63.37584972381592,2.786316553751628,46.63349914550781,5.525725046793619,303.0142288208008,0.9504140218098958,0.14752669697029253,-1.5590092799763808,559
SWAFR,E115S29CB,115.375,-29.625,4,9.191094160079956,0.6973786354064941,20.140439987182617,1.3799654642740884,196.6341896057129,46.190111796061196,441.38584899902344,23.132781982421875,37025408,1051721.3333333333,27.338985919952393,1.146046002705892,62.688825607299805,1.2116228739420571,45.06349182128906,2.6580632527669272,304.1413803100586,0.8633371988932291,-0.9676251702871133,0.2383436273234677,512
SWAFR,E115S29CC,115.125,-29.875,4,9.738912582397461,1.0097297032674153,24.431637287139893,3.1549412409464517,45.45204544067383,11.89056396484375,482.0799789428711,16.93414815266927,42567233,6279024.666666666,26.81831645965576,0.7764568328857422,59.94970893859863,2.9430809020996094,53.600921630859375,11.56064478556315,302.5503921508789,1.682744344075521,0.9811293753845405,-1.535806055660578,668
SWAFR,E115S29CD,115.375,-29.875,4,8.428935527801514,2.2051194508870444,20.95129108428955,4.076125462849935,209.3460350036621,36.77794647216797,465.0226821899414,23.98340352376302,37166650,3083520,28.322361946105957,0.6727390289306641,61.7830867767334,0.9000689188639323,45.77628993988037,3.9396775563557944,303.0838623046875,0.483154296875,-0.051839988181232505,-1.6922347587668614,727
SWAFR,E115S29DA,115.625,-29.625,4,9.033230543136597,0.24848349889119464,21.39124631881714,2.5202722549438477,293.30042266845703,13.64886983235677,379.66624450683594,19.883280436197918,33458215,1254151.3333333333,29.906776428222656,0.4433587392171224,63.46800518035889,0.5114281972249349,37.799530029296875,6.118939717610677,303.7515563964844,0.382659912109375,-1.3021889877729709,-0.25850864868123113,443
SWAFR,E115S29DB,115.875,-29.625,4,9.501143336296082,2.440485874811808,21.886512994766235,6.158273855845134,267.7879295349121,27.5604731241862,329.4859161376953,15.889851888020834,25529461.5,9345747.666666666,30.93882656097412,1.1028696695963542,59.14071464538574,15.217060089111328,44.18736934661865,3.2116031646728516,302.4581756591797,2.62664794921875,3.894389764087694,-6.431272170940587,501
SWAFR,E115S29DC,115.625,-29.875,4,9.339561939239502,0.6269095738728842,20.063632488250732,1.2024145126342773,277.1751708984375,5.716888427734375,412.02515411376953,27.553207397460938,33554947.5,1549836.3333333333,30.616222858428955,1.3100525538126626,63.1920166015625,0.60446929931640625,39.982872009277344,3.491040547688802,303.80816650390625,0.7169087727864583,-1.1955576050233898,0.4338222534396637,290
SWAFR,E115S29DD,115.875,-29.875,4,8.364174604415894,0.45720688501993817,21.80819797515869,1.2906856536865234,249.96826553344727,6.676750183105469,364.5410614013672,24.242645263671875,27510237,1746944,31.654776573181152,0.4894555409749349,64.64977931976318,0.7467568715413412,35.36557674407959,2.286092758178711,303.5054244995117,0.3509572347005208,-1.5938837259454872,0.27091985375730376,404
SWAFR,E115S30AA,115.125,-30.125,4,10.740708351135254,0.6824738184611002,24.927882194519043,1.040109634399414,103.08007669448853,92.96011384328206,502.61951446533203,13.486618041992188,45136212,3667104,27.126338481903076,0.848234494527181,58.8994722366333,1.5877081553141275,61.71405220031738,6.709831237792969,301.60189056396484,1.1611175537109375,-0.1934574187824111,0.2340550137146348,938
SWAFR,E115S30AB,115.375,-30.125,4,9.233088493347168,0.7092917760213217,20.46775484085083,2.5527162551879883,214.06817245483398,38.42587534586589,496.5797882080078,20.805887858072918,39659092,1110188,28.66581106185913,0.4796113967895508,61.365965843200684,0.7955951690673828,46.11416435241699,3.804304758707682,303.57745361328125,0.24518839518229169,-1.218819546684124,-0.4023032066219157,933
SWAFR,E115S30AD,115.375,-30.375,4,9.029072880744934,1.4666608969370523,22.567776679992676,2.098133722941081,184.3521385192871,42.961997985839844,528.4266204833984,6.752797444661458,42250841,2406926,29.521724224090576,0.9128077824910482,60.24131107330322,1.624106725056966,51.07372188568115,4.694587071736654,303.02237701416016,1.607274373372396,-0.14209063761845903,-0.7829836023221793,718
SWAFR,E115S30BA,115.625,-30.125,4,10.543347358703613,0.5543375015258789,23.070574283599854,1.7007621129353843,294.68228912353516,19.495173136393227,459.6726837158203,17.946604410807293,36541466,1232085.3333333333,29.934467315673828,0.8048191070556641,61.40744686126709,1.6887175242106118,41.474273681640625,4.104127248128255,301.8355178833008,0.1084747314453125,-1.4797519661670586,-0.2055229187972103,418
