model,AICc,delta_AICc,akaike_weights
abs,2112.487396396368,0,1
full,2192.5905798018284,80.10318340546064,4.0347323650690655e-18
rough,2208.4303218422992,95.94292544593145,1.4664202545932018e-21
null,3099.3732813413963,986.8858849450285,5.017102225945786e-215
