model,AICc,delta_AICc,akaike_weights
soil,1371.4687234468665,0,0.9884803251673137
non_soil,1380.3839932640496,8.915269817183116,0.011456231641255213
full,1390.7789055249118,19.310182078045273,6.336001464505682e-5
null,1404.05014544703,32.58142200016346,8.317678617444548e-8
