model,AICc,delta_AICc,akaike_weights
abs,2112.487396396368,0,0.9999999999999969
non_elev,2179.351351718151,66.86395532178312,3.0246601377657417e-15
full,2192.5905798018284,80.10318340546064,4.034732365069053e-18
soil,2197.7626279174583,85.27523152109052,3.0389164055744665e-19
rough,2208.4303218422992,95.94292544593145,1.4664202545931973e-21
non_soil,2218.080342706446,105.59294631007833,1.1770178382125117e-23
elev,2267.2975259616533,154.81012956528548,2.41772829726094e-34
null,3099.3732813413963,986.8858849450285,5.01710222594577e-215
