region,rank,richness,avg_QDS_richness,avg_QDS_turnover,HDS_cell_no,Elevation,MAP,PDQ,Surface_T,NDVI,CEC,Clay,Soil_C,pH,roughness_Elevation,roughness_MAP,roughness_PDQ,roughness_Surface_T,roughness_NDVI,roughness_CEC,roughness_Clay,roughness_Soil_C,roughness_pH,rank,richness,avg_QDS_richness,avg_QDS_turnover,HDS_cell_no,Elevation,MAP,PDQ,Surface_T,NDVI,CEC,Clay,Soil_C,pH,roughness_Elevation,roughness_MAP,roughness_PDQ,roughness_Surface_T,roughness_NDVI,roughness_CEC,roughness_Clay,roughness_Soil_C,roughness_pH,rank,richness,avg_QDS_richness,avg_QDS_turnover,HDS_cell_no,Elevation,MAP,PDQ,Surface_T,NDVI,CEC,Clay,Soil_C,pH,roughness_Elevation,roughness_MAP,roughness_PDQ,roughness_Surface_T,roughness_NDVI,roughness_CEC,roughness_Clay,roughness_Soil_C,roughness_pH
GCFR,species,348,324,0.8706896551724138,cell_92,261.02393747644305,88.28557319045866,8.899168945289395,306.2631832614889,18028785.676805723,5.904537244074924,8.650414383383218,29.61226256367138,71.52278470409706,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,174,324,0.6896551724137931,cell_92,261.02393747644305,88.28557319045866,8.899168945289395,306.2631832614889,18028785.676805723,5.904537244074924,8.650414383383218,29.61226256367138,71.52278470409706,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,53,324,0.5094339622641509,cell_92,261.02393747644305,88.28557319045866,8.899168945289395,306.2631832614889,18028785.676805723,5.904537244074924,8.650414383383218,29.61226256367138,71.52278470409706,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,672,497,0.8269681841070249,cell_93,557.5214149245594,92.9219537529945,9.050667508198979,305.66789868715824,17504353.322922487,6.3348921026222,10.223826107376906,38.68798098588889,68.78633933481109,75.46193938125049,93.2094236061746,8.710672379743889,1.0469710095385596,2759578.804465992,1.6778906408533383,2.5035204650532252,10.639524137380517,1.756379740917861,genus,267,497,0.5801587301587301,cell_93,557.5214149245594,92.9219537529945,9.050667508198979,305.66789868715824,17504353.322922487,6.3348921026222,10.223826107376906,38.68798098588889,68.78633933481109,75.46193938125049,93.2094236061746,8.710672379743889,1.0469710095385596,2759578.804465992,1.6778906408533383,2.5035204650532252,10.639524137380517,1.756379740917861,family,67,497,0.3548050021909866,cell_93,557.5214149245594,92.9219537529945,9.050667508198979,305.66789868715824,17504353.322922487,6.3348921026222,10.223826107376906,38.68798098588889,68.78633933481109,75.46193938125049,93.2094236061746,8.710672379743889,1.0469710095385596,2759578.804465992,1.6778906408533383,2.5035204650532252,10.639524137380517,1.756379740917861
GCFR,species,492,274.5,0.8726810214613938,cell_123,351.2404809197822,128.7425890615977,11.676786312522777,305.9033928064314,18749040.369772736,8.795622360680444,10.269237880170794,30.481475732994777,71.6575939099046,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,205,274.5,0.7314236768331229,cell_123,351.2404809197822,128.7425890615977,11.676786312522777,305.9033928064314,18749040.369772736,8.795622360680444,10.269237880170794,30.481475732994777,71.6575939099046,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,60,274.5,0.5799052434469101,cell_123,351.2404809197822,128.7425890615977,11.676786312522777,305.9033928064314,18749040.369772736,8.795622360680444,10.269237880170794,30.481475732994777,71.6575939099046,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,868,623.5,0.8067351477399194,cell_124,738.3256442353047,134.24109623898596,12.021236974015508,304.97552406112624,17534743.629070688,8.80939575258879,10.642620267637943,33.89663423601982,71.28307026962385,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,275,623.5,0.5735508749534685,cell_124,738.3256442353047,134.24109623898596,12.021236974015508,304.97552406112624,17534743.629070688,8.80939575258879,10.642620267637943,33.89663423601982,71.28307026962385,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,64,623.5,0.4088536426954506,cell_124,738.3256442353047,134.24109623898596,12.021236974015508,304.97552406112624,17534743.629070688,8.80939575258879,10.642620267637943,33.89663423601982,71.28307026962385,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,608,325,0.8750090583195583,cell_153,238.02098016094942,151.8639155944683,16.889660939743706,304.924202364717,20469999.398407053,7.448123915634859,12.789861085602976,24.829271383287832,71.52772037442062,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,224,325,0.635310213977332,cell_153,238.02098016094942,151.8639155944683,16.889660939743706,304.924202364717,20469999.398407053,7.448123915634859,12.789861085602976,24.829271383287832,71.52772037442062,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,60,325,0.45714893402146584,cell_153,238.02098016094942,151.8639155944683,16.889660939743706,304.924202364717,20469999.398407053,7.448123915634859,12.789861085602976,24.829271383287832,71.52772037442062,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,1180,1258.5,0.7547510122104821,cell_154,622.1190759976203,172.36928299900705,13.330580309318831,304.48779399001126,20633112.492244318,9.792594484181105,14.596027312320906,40.909098814478966,68.0819760227654,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,345,1258.5,0.49241405722571696,cell_154,622.1190759976203,172.36928299900705,13.330580309318831,304.48779399001126,20633112.492244318,9.792594484181105,14.596027312320906,40.909098814478966,68.0819760227654,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,77,1258.5,0.2740578502039046,cell_154,622.1190759976203,172.36928299900705,13.330580309318831,304.48779399001126,20633112.492244318,9.792594484181105,14.596027312320906,40.909098814478966,68.0819760227654,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,119,78.5,0.9495798319327731,cell_155,918.6959597349482,181.12579251660338,16.09290056483153,304.55544596084474,17670484.542522334,8.88664479930168,13.720989391591587,29.0395178765079,70.55674025089351,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,84,78.5,0.8095238095238095,cell_155,918.6959597349482,181.12579251660338,16.09290056483153,304.55544596084474,17670484.542522334,8.88664479930168,13.720989391591587,29.0395178765079,70.55674025089351,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,33,78.5,0.7272727272727273,cell_155,918.6959597349482,181.12579251660338,16.09290056483153,304.55544596084474,17670484.542522334,8.88664479930168,13.720989391591587,29.0395178765079,70.55674025089351,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,1002,855.75,0.8302842696374454,cell_184,478.6767426946732,194.59922820012832,13.532289019638782,304.1873469947504,23765856.889573514,9.499443751025762,16.465189485436557,43.4351122557218,66.78659473542596,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,317,855.75,0.580977324902977,cell_184,478.6767426946732,194.59922820012832,13.532289019638782,304.1873469947504,23765856.889573514,9.499443751025762,16.465189485436557,43.4351122557218,66.78659473542596,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,76,855.75,0.45309648082295273,cell_184,478.6767426946732,194.59922820012832,13.532289019638782,304.1873469947504,23765856.889573514,9.499443751025762,16.465189485436557,43.4351122557218,66.78659473542596,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,846,560.5,0.8999925406504091,cell_185,877.4634517998635,200.57907778323866,17.284863789125346,302.8924782012434,20841492.713635016,9.855973232791182,17.66787985878262,41.91438599256294,67.30748296911392,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,311,560.5,0.6953014278015472,cell_185,877.4634517998635,200.57907778323866,17.284863789125346,302.8924782012434,20841492.713635016,9.855973232791182,17.66787985878262,41.91438599256294,67.30748296911392,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,79,560.5,0.5138834569955851,cell_185,877.4634517998635,200.57907778323866,17.284863789125346,302.8924782012434,20841492.713635016,9.855973232791182,17.66787985878262,41.91438599256294,67.30748296911392,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCFR,species,562,298.5,0.8509363422850238,cell_214,237.32354885562376,183.47992397898648,17.12396677740029,303.95988735221914,24674253.20507851,8.687548428736832,16.943645083147686,35.94014830326652,65.74677901859073,NA,NA,NA,NA,NA,NA,NA,NA,NA,genus,228,298.5,0.6432018881173626,cell_214,237.32354885562376,183.47992397898648,17.12396677740029,303.95988735221914,24674253.20507851,8.687548428736832,16.943645083147686,35.94014830326652,65.74677901859073,NA,NA,NA,NA,NA,NA,NA,NA,NA,family,59,298.5,0.4472180238114364,cell_214,237.32354885562376,183.47992397898648,17.12396677740029,303.95988735221914,24674253.20507851,8.687548428736832,16.943645083147686,35.94014830326652,65.74677901859073,NA,NA,NA,NA,NA,NA,NA,NA,NA
