region,lat,lon,QDS_richness,Elevation,MAP,PDQ,Surface.T,NDVI,CEC,Clay,Soil.C,pH,rough_Elevation,rough_MAP,rough_PDQ,rough_Surface.T,rough_NDVI,rough_CEC,rough_Clay,rough_Soil.C,rough_pH,log_QDS_richness,PC1,PC2
GCFR,-28.375,16.875,64,199.263316869912,103.565526798518,8.15943120024567,308.057880768469,10046763.2204396,6.47759949077259,4.52557698163119,42.6350628245961,67.6618804931641,81.6930031292169,15.0352226464206,0.479880812481565,1.46910834000952,1694233.44903799,1.3392152167607,1.70299775659302,6.71007693759979,2.28536356231313,4.15888308335967,1.6081257535359805,0.43348856677089415
GCFR,-28.375,17.125,586,459.17867083667,83.2229558266534,8.00707490675084,307.024049673203,14511353.5947712,9.72610803604126,7.2077857208252,41.7669718933105,66.6349401855469,105.811527100683,12.2173281367178,1.02426832935891,1.66817599022633,2490900.86389485,1.60880366033978,2.39990002844069,3.97138046688504,3.11916547616323,6.37331978957701,2.259232759172389,0.3881745859502971
GCFR,-28.375,17.375,8,381.861911168146,66.748557249705,5.71303709536731,309.034351851852,10861957.6420312,10.7754892202524,8.72601571449867,35.2241326845609,67.9699334364671,120.89158701614,9.50223338456802,0.830712370006576,1.32374031794578,720552.974810475,1.3328424537866,1.50911348672431,2.18062161322187,2.88015667073456,2.07944154167984,0.6761191219131217,0.8327410642199038
GCFR,-28.625,16.625,3,64.641454474268,93.5942937215169,7.88916323888633,307.686727396514,9998985.15795205,8.76433389186859,10.5866487979889,34.6787975311279,70.1636493682861,28.7212566345,16.6304094747261,0.671395855334898,1.18539119235657,1975419.76821583,0.969002352820503,2.37396480308639,5.37094392379125,2.88900567425622,1.09861228866811,1.3551874019616452,-0.40520681801156233
GCFR,-28.625,16.875,199,233.556889771239,128.017179586269,7.31231170507881,308.643275462963,14404870.9831154,4.66221771637599,4.47504578034083,40.5174286365509,74.0001859664917,66.1434972761914,15.0976395164252,0.351415533349283,0.834973215816673,2089913.77958716,1.13877729959195,1.66244216700868,6.67736701044456,3.136049095285,5.29330482472449,1.1918757567173663,-0.09016869840865976
GCFR,-28.625,17.125,378,691.9430716694,109.623216196696,9.12450154510704,304.338109586057,20806568.8453159,7.87453937530518,15.4485130500793,52.1693299865723,63.4291488647461,146.243104497204,13.9817009014553,0.725124575315335,1.64262953280077,2879682.9944322,1.06745507134332,3.71397267129686,5.65793020460341,2.06539596557617,5.93489419561959,2.332915064987896,0.6199177827152962
GCFR,-28.625,17.375,6,540.394953825294,79.1519790225559,6.81415403747921,307.049822076979,12755251.452433,10.0080363220639,10.2650116019779,41.3488099839952,63.2010748121474,140.061995184822,15.677569785918,1.40346855340021,2.36365527726865,2073258.19995349,0.965580443204816,2.54900362524196,3.66213679052955,2.51052129028966,1.79175946922805,2.273252546148445,1.1937179238295266
GCFR,-28.875,16.625,17,84.5735516818719,78.9927114115821,10.5748430712848,301.938706055655,13252018.7000724,9.2008009458843,6.59013930116983,35.7804615623073,42.0035649704868,37.9159734787184,8.21245802634829,2.06786331943783,1.62527523164073,2305802.76250412,2.43013743646771,2.80338799165957,13.1910749625907,13.6335907659105,2.83321334405622,3.5314340748069193,-1.1203877866146799
GCFR,-28.875,16.875,194,258.730412747033,82.3842587916056,7.77959651016795,307.043753376906,19114017.211329,5.64119099617004,8.33128036499023,24.5759951019287,72.5060028076172,35.7804916785559,6.980172172358,0.715568620542466,0.56305589445655,1486603.40111345,1.17381802346971,0.987675386004978,3.69013010660807,2.93404017130534,5.26785815906333,0.060586355202871756,-0.2531133402465788
GCFR,-28.875,17.125,217,443.805511820973,91.3086936908298,8.16763079778926,306.678300653595,16894655.0108932,5.52273549079895,9.78846193313599,32.7564458465576,68.8710325622559,71.2737034445818,8.38685926272545,0.508569366564582,0.967630331638839,1997021.4717985,0.804138756857978,2.05022677739461,5.18125085618761,3.08233535766602,5.37989735354046,0.9835506042979871,0.06554641441876324
GCFR,-28.875,17.375,305,628.671608323268,86.0509672650584,8.6159260923041,305.9738777687,15391335.7843139,8.62986520926158,11.4715063373248,38.0217826366425,64.9840919176738,67.5498968679976,9.3581781167272,0.817599222464085,1.01510394152518,1866626.16213533,1.31482904806497,1.77871662173322,5.67754529503287,2.73812365311163,5.72031177660741,1.4023794231270814,0.11394068779818728
GCFR,-28.875,17.625,3,472.609705823518,75.7545383241441,6.51749689275915,308.819590958606,9695768.24618741,9.90792388916016,9.64775476455688,33.44169921875,64.6147399902344,67.7917924797001,7.73221505697442,1.35218177166291,0.965549290426076,927202.958791515,1.10301060222444,1.49638380100803,2.76901779621366,1.91327120190575,1.09861228866811,0.4431516656590763,0.6392496969967837
GCFR,-28.875,17.875,5,602.9334760558,69.4941153208415,7.15646894757633,307.617598039216,12116488.5620914,6.80744562149048,8.26653852462769,23.9975105285645,73.9947174072266,50.4094053453609,3.7389216741683,1.11461215899181,1.51779637540207,732677.473674636,1.67862698691232,1.87647824417977,5.0564481764748,3.65247425805955,1.6094379124341,1.1147387672879596,-0.1899900535849055
GCFR,-29.125,16.875,131,142.372404426554,91.9918211877058,11.6220041455834,303.473154162128,18964450.8383062,7.49739989367398,10.0004152679443,21.1806724288247,54.4383113098145,42.4122068898916,8.6431874305812,2.3649397784557,1.55265713075353,1996424.54942244,1.41111380967055,2.74102373255624,7.82167486444352,9.90208834224277,4.87519732320115,2.8096161161272026,-0.5736683976977541
