region,lon,lat,HDS_richness,mean_QDS_turnover,mean_QDS_richness,Elevation,MAP,PDQ,Surface.T,NDVI,CEC,Clay,Soil.C,pH,rough_Elevation,rough_MAP,rough_PDQ,rough_Surface.T,rough_NDVI,rough_CEC,rough_Clay,rough_Soil.C,rough_pH,PC1,PC2,add_turnover,add_turnover_prop,div_turnover
GCFR,16.7,-28.4,355,0.958254145740877,103.25,171.080126271949,110.609435986991,7.69149979822401,308.178360863537,11931109.1305208,6.51697268052535,6.70755311792547,38.8178168903698,71.3374206542969,57.9740118228627,15.5866715062777,0.479494567307658,1.065869210559,1979852.00087525,1.12015570992206,1.90222507483526,6.25678782591281,2.89913349256648,1.0581110664327866,0.35728845109045243,251.75,0.7091549295774648,3.4382566585956416
GCFR,17.2,-28.4,672,0.907165485111677,226.5,536.658735514727,88.0859076248275,7.74375786394351,306.523424110385,15478370.8208936,9.3857061598036,10.6742701530457,43.834566069238,65.0966754018525,129.802824986584,13.2014952270944,0.984592844951257,1.76557470064048,2217051.68961054,1.23118223509593,2.71510339385535,4.14661062702898,2.58749511325569,1.8418281293831882,1.1701651046867125,445.5,0.6629464285714286,2.966887417218543
GCFR,16.7,-28.9,355,0.958254145740877,103.25,167.730502384968,83.9418283524336,9.87626690995277,303.923193727784,17589536.2285538,7.46997069275897,7.47390097260744,26.693412490513,50.3090353690267,38.1459471945089,8.47422237437283,1.84443838586874,1.23855823959255,1868947.56119067,1.69836616292944,2.13884043549545,7.68031692408603,8.54565124753876,2.142016604654684,-0.35082217513282254,251.75,0.7091549295774648,3.4382566585956416
GCFR,17.2,-28.9,483,0.871479198933698,167,485.957643454083,100.429776216329,9.21073084564635,306.070132974626,17108665.0546863,7.0481731819384,10.3416605236554,38.9113394419352,68.9787209636033,63.771112253323,8.53622657122529,0.634305211348842,0.918812844441927,1960166.52660401,1.2438963823963,1.86810849522176,8.12948642844322,2.95866197688812,1.0987129325756204,0.2886529764518925,316,0.6542443064182195,2.8922155688622753
GCFR,17.7,-28.9,868,0.814436608038744,338,686.292260373019,98.555860961477,9.887461796426,305.97490866432,14305040.2212167,7.54355808404776,8.52955401860751,31.5985115784865,71.0017997154823,67.3768871019059,8.90040993164482,0.987938536432391,1.15045403924627,1348584.74632965,1.24832341267076,1.71643386467764,6.97231802274893,2.74600249401088,1.084758149485169,0.7182585666664727,530,0.6105990783410138,2.5680473372781063
GCFR,16.7,-29.4,139,0.97841726618705,71,42.960666073898,91.5950164233937,12.1610088715482,299.706871187364,17073151.47664,10.9516875403268,4.59865845659748,39.074015889849,19.809398753196,28.8971864458165,15.565341758127,3.82449102771782,1.46503590961848,2087221.82165026,3.1366403930717,3.06661570488385,11.6819091661717,12.3405620769394,3.634592350924236,-0.8627918229351169,68,0.4892086330935252,1.9577464788732395
GCFR,17.2,-29.4,483,0.871479198933698,167,193.229330653564,131.939064850042,12.177139228333001,305.969850816993,18508319.9413786,9.11565099716186,9.70148743748665,23.7380233287811,70.5304167616367,35.0556662382958,10.4061779044609,1.6351183441829,0.860180719926852,1300440.16496595,1.42029568604818,1.35464550542645,6.52296500290765,4.40274506429417,1.0310796777403335,0.08026702185487994,316,0.6542443064182195,2.8922155688622753
GCFR,17.7,-29.4,1179,0.754619377464766,498.25,739.768037952948,155.472237985399,12.8611203135921,304.210711165577,19022248.8562092,9.30174540996551,12.8484232759476,39.1675390529633,68.3909395217895,71.7767188252942,12.0619468634806,1.17362041095057,0.694209592108435,1549527.81106259,1.20505171140035,1.63646537303925,6.06340547826555,1.88433836195204,0.7375815604861142,0.7419901215013951,680.75,0.5773960983884648,2.3662819869543403
GCFR,18.2,-29.4,159,0.951486535208143,58,912.901038928662,144.977612905363,13.4280377857609,305.815177812988,15669248.916177,6.70074938764476,10.0472685785005,19.8424276679453,78.0540600400982,37.1515824116351,8.07252738461401,0.757673847274249,0.696300027062811,732844.576206472,0.668545157880341,0.758809152743899,3.83662126714915,1.72812070520868,-1.1639578415516791,0.9614677746557893,101,0.6352201257861635,2.7413793103448274
GCFR,18.7,-29.4,31,0.972222222222222,10.6666666666667,837.324799883019,115.46854051484,17.1332618206292,305.675859636538,14768972.1823689,5.78885814620227,8.7571170155595,12.463813095558,81.4412290991806,35.3157108923562,6.10996773929613,0.860852647277052,0.649552624068296,611487.138731538,0.705085767284642,0.618014450332613,4.4874167519487,1.47695673028028,-1.400450240554776,1.076393308196593,20.3333333333333,0.6559139784946226,2.906249999999991
GCFR,19.2,-29.4,13,1,6.5,962.721447225707,137.178543965357,22.2629829245697,305.301546634125,15503382.1805797,6.79349574559852,9.66634003723724,12.8402926589869,80.7151010247726,28.478540214151,4.94990871541028,1.50795357664172,0.570051629297594,751745.093497584,0.501426213192896,0.608199488189725,4.27311649815682,1.25007870302206,-1.5892174689132945,1.1260658271121466,6.5,0.5,2
GCFR,17.2,-29.9,608,0.874727146485645,210,163.925425809055,144.157772664212,18.9902011098014,303.332278795777,20351587.8879732,8.35474759113939,9.47839422716028,25.0984639880023,54.72904946812,31.7930965260723,16.6572366991783,3.99006801897948,0.990210936856739,984266.128071754,1.40435790002693,1.94205648909915,5.56761371201244,7.41389865542382,1.6984418556329806,-0.013061196978039313,398,0.6546052631578947,2.895238095238095
